"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA004047240","2018-07-02","52.3667","-108.8333","660.0","SCOTT CDA, SK CA","    0",",,C",,,,,"  202",",,C","   80",",,C",,,,,"  141",",,C","    0",",,C","    0",",,C"
"CA004047240","2018-07-03","52.3667","-108.8333","660.0","SCOTT CDA, SK CA","   23",",,C",,,,,"  189",",,C","  100",",,C",,,,,"  145",",,C","   23",",,C","  320",",,C"
"CA004047240","2018-07-04","52.3667","-108.8333","660.0","SCOTT CDA, SK CA","    0",",,C",,,,,"  201",",,C","  102",",,C",,,,,"  152",",,C","   34",",,C","  370",",,C"
"CA004047240","2018-07-05","52.3667","-108.8333","660.0","SCOTT CDA, SK CA","    0",",,C",,,,,"  247",",,C","   73",",,C",,,,,"  160",",,C","   16",",,C","  350",",,C"
"CA004047240","2018-07-06","52.3667","-108.8333","660.0","SCOTT CDA, SK CA","    0",",,C",,,,,"  307",",,C","  139",",,C",,,,,"  223",",,C","   22",",,C","  370",",,C"
"CA004047240","2018-07-07","52.3667","-108.8333","660.0","SCOTT CDA, SK CA","   75",",,C",,,,,"  258",",,C","  129",",,C",,,,,"  194",",,C","   32",",,C","  540",",,C"
"CA004047240","2018-07-08","52.3667","-108.8333","660.0","SCOTT CDA, SK CA",,,,,,,,,"   89",",,C",,,,,,,"    0",",,C","    0",",,C"
"CA004047240","2018-07-09","52.3667","-108.8333","660.0","SCOTT CDA, SK CA","    0",",,C",,,,,"  267",",,C","   98",",,C",,,,,"  183",",,C","   12",",,C","  390",",,C"
"CA004047240","2018-07-10","52.3667","-108.8333","660.0","SCOTT CDA, SK CA","  293",",,C",,,,,"  281",",,C","  115",",,C",,,,,"  198",",,C","    3",",,C","  480",",,C"
"CA004047240","2018-07-11","52.3667","-108.8333","660.0","SCOTT CDA, SK CA",,,,,,,,,"  142",",,C",,,,,,,,,,
"CA004047240","2018-07-12","52.3667","-108.8333","660.0","SCOTT CDA, SK CA","    0",",,C",,,,,"  259",",,C","  134",",,C",,,,,"  197",",,C","   29",",,C","  460",",,C"
"CA004047240","2018-07-13","52.3667","-108.8333","660.0","SCOTT CDA, SK CA","    5",",,C",,,,,"  279",",,C","  129",",,C",,,,,"  204",",,C",,,,
"CA004047240","2018-07-14","52.3667","-108.8333","660.0","SCOTT CDA, SK CA",,,,,,,,,,,,,,,,,"   27",",,C","  520",",,C"
"CA004047240","2018-07-15","52.3667","-108.8333","660.0","SCOTT CDA, SK CA","    0",",,C",,,,,"  228",",,C","   88",",,C",,,,,"  158",",,C","   31",",,C","  410",",,C"
"CA004047240","2018-07-16","52.3667","-108.8333","660.0","SCOTT CDA, SK CA","    0",",,C",,,,,"  251",",,C","   83",",,C",,,,,"  167",",,C","   10",",,C","  330",",,C"
