"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"USC00335667","2016-12-13","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US","    0",",,7,0900","    0",",,7,0900","  127",",,7,0900","    6",",,7","  -94",",,7",,,,,"  -44",",,7,0900",,,,,,
"USC00335667","2016-12-15","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US",,,"    0",",,7,0900","  127",",,7,0900","  -17",",,7"," -161",",,7","    2",",,7","    0",",,7"," -144",",,7,0900",,,,,,
"USC00335667","2016-12-19","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US",,,"   15",",,7,0900","  102",",,7,0900","   -6",",,7"," -194",",,7","    4",",,7","   41",",,7"," -150",",,7,0900",,,,,,
"USC00335667","2016-12-20","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US","    0",",,7,0900","    0",",,7,0900","  102",",,7,0900","   -6",",,7"," -194",",,7",,,,,"  -61",",,7,0900",,,,,,
"USC00335667","2016-12-21","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US","    0",",,7,0900","    0",",,7,0900","  102",",,7,0900","    0",",,7","  -61",",,7",,,,,"  -39",",,7,0900",,,,,,
"USC00335667","2016-12-22","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US","    0",",,7,0900","    0",",,7,0900","  102",",,7,0900","   28",",,7","  -39",",,7",,,,,"   28",",,7,0900",,,,,,
"USC00335667","2016-12-23","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US","    0",",,7,0900","    0",",,7,0900","   51",",,7,0900","   44",",,7","  -39",",,7",,,,,"    6",",,7,0900",,,,,,
"USC00335667","2016-12-27","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US",,,"    0",",,7,0900","    0",",,7,0900","  161",",,7","  -17",",,7","    4",",,7","  170",",,7","  -17",",,7,0900",,,,,,
"USC00335667","2016-12-29","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US",,,"    0",",,7,0900","    0",",,7,0900","   56",",,7","  -33",",,7","    2",",,7","   61",",,7","   17",",,7,0900",,,,,,
"USC00335667","2016-12-30","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","   56",",,7","  -22",",,7",,,,,"   -6",",,7,0900",,,,,,
"USC00335667","2017-01-03","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US",,,"    0",",,7,0900","    0",",,7,0900","   67",",,7","  -50",",,7","    4",",,7","  142",",,7","   50",",,7,0900",,,,,,
"USC00335667","2017-01-04","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US","  119",",,7,0900","    0",",,7,0900","    0",",,7,0900","   72",",,7","  -56",",,7",,,,,"  -56",",,7,0900",,,,,,
"USC00335667","2017-01-05","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US","    0","T,,7,0900","    0","T,,7,0900","    0",",,7,0900","  -50",",,7","  -94",",,7",,,,,"  -94",",,7,0900",,,,,,
"USC00335667","2017-01-06","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US","    3",",,7,0900","   10",",,7,0900","    0",",,7,0900","  -89",",,7"," -150",",,7",,,,," -128",",,7,0900",,,,,,
"USC00335667","2017-01-10","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US",,,"    0",",,7,0900","    0",",,7,0900","   22",",,7"," -167",",,7","    4",",,7","   56",",,7","   22",",,7,0900",,,,,,
"USC00335667","2017-01-11","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US","   41",",,7,0900","    0",",,7,0900","    0",",,7,0900","  100",",,7","   -6",",,7",,,,,"   17",",,7,0900",,,,,,
"USC00335667","2017-01-13","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US",,,"    0",",,7,0900","    0",",,7,0900","  144",",,7","  -50",",,7","    2",",,7","  284",",,7","  -33",",,7,0900",,,,,,
"USC00335667","2017-01-16","41.3816","-84.1513","204.2","NAPOLEON 1 SW, OH US",,,"    0",",,7,0900","    0",",,7,0900","    6",",,7","  -72",",,7","    3",",,7","    0",",,7","    6",",,7,0900",,,,,,
