"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00173862","2018-07-07","43.64759","-70.67498","92.7","HOLLIS, ME US","   15",",,7,0700","    0",",,7,0700","    0",",,7,0700","  306",",,7","   72",",,7","   94",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-07-08","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  267",",,7","   89",",,7","  111",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-07-09","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  294",",,7","  111",",,7","  128",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-07-10","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  322",",,7","  128",",,7","  150",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-07-11","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  322",",,7","  150",",,7","  189",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-07-12","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  267",",,7","   89",",,7","  106",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-07-13","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","  100",",,7","  144",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-07-14","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  267",",,7","  100",",,7","  144",",,7,0700",,,"    1",",,7",,,,,,,,,,
"USC00173862","2018-07-15","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  233",",,7","  133",",,7","  172",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-07-16","43.64759","-70.67498","92.7","HOLLIS, ME US","    5",",,7,0700","    0",",,7,0700","    0",",,7,0700","  261",",,7","  156",",,7","  189",",,7,0700",,,"    1",",,7",,,,,,,,,,
"USC00173862","2018-07-17","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  294",",,7","  178",",,7","  194",",,7,0700",,,"    1",",,7",,,,,,,,,,
"USC00173862","2018-07-18","43.64759","-70.67498","92.7","HOLLIS, ME US","  198",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","  156",",,7","  161",",,7,0700",,,"    1",",,7","    1",",,7",,,,,,,,
"USC00173862","2018-07-19","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  256",",,7","   72",",,7","   78",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-07-20","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","   78",",,7","   94",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-07-21","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  289",",,7","   72",",,7","  100",",,7,0700",,,"    1",",,7",,,,,,,,,,
"USC00173862","2018-07-22","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  261",",,7","   94",",,7","  150",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-07-23","43.64759","-70.67498","92.7","HOLLIS, ME US","  135",",,7,0700","    0",",,7,0700","    0",",,7,0700","  200",",,7","  150",",,7","  200",",,7,0700",,,"    1",",,7",,,,,,,,,,
"USC00173862","2018-07-24","43.64759","-70.67498","92.7","HOLLIS, ME US","   53",",,7,0700","    0",",,7,0700","    0",",,7,0700","  261",",,7","  200",",,7","  200",",,7,0700",,,"    1",",,7",,,,,,,,,,
"USC00173862","2018-07-25","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","  189",",,7","  211",",,7,0700",,,"    1",",,7",,,,,,,,,,
"USC00173862","2018-07-26","43.64759","-70.67498","92.7","HOLLIS, ME US","   41",",,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  206",",,7","  206",",,7,0700",,,"    1",",,7",,,,,,,,,,
"USC00173862","2018-07-27","43.64759","-70.67498","92.7","HOLLIS, ME US","   53",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","  167",",,7","  167",",,7,0700",,,"    1",",,7","    1",",,7",,,,,,,,
"USC00173862","2018-07-28","43.64759","-70.67498","92.7","HOLLIS, ME US","  155",",,7,0700","    0",",,7,0700","    0",",,7,0700","  306",",,7","  161",",,7","  189",",,7,0700",,,"    1",",,7","    1",",,7",,,,,,,,
"USC00173862","2018-07-29","43.64759","-70.67498","92.7","HOLLIS, ME US","   28",",,7,0700","    0",",,7,0700","    0",",,7,0700","  283",",,7","  161",",,7","  167",",,7,0700",,,"    1",",,7","    1",",,7",,,,,,,,
"USC00173862","2018-07-30","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","  122",",,7","  139",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-07-31","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","  139",",,7","  156",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-08-01","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  283",",,7","  144",",,7","  144",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-08-02","43.64759","-70.67498","92.7","HOLLIS, ME US","  234",",,7,0700","    0",",,7,0700","    0",",,7,0700","  256",",,7","  144",",,7","  206",",,7,0700",,,"    1",",,7",,,,,,,,,,
"USC00173862","2018-08-03","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  300",",,7","  200",",,7","  200",",,7,0700",,,"    1",",,7",,,,,,,,,,
"USC00173862","2018-08-04","43.64759","-70.67498","92.7","HOLLIS, ME US","  135",",,7,0700","    0",",,7,0700","    0",",,7,0700","  300",",,7","  189",",,7","  206",",,7,0700",,,"    1",",,7","    1",",,7",,,,,,,,
"USC00173862","2018-08-05","43.64759","-70.67498","92.7","HOLLIS, ME US","  104",",,7,0700","    0",",,7,0700","    0",",,7,0700","  239",",,7","  167",",,7","  183",",,7,0700",,,"    1",",,7","    1",",,7",,,,,,,,
"USC00173862","2018-08-06","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  300",",,7","  178",",,7","  178",",,7,0700",,,"    1",",,7",,,,,,,,,,
"USC00173862","2018-08-07","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  322",",,7","  178",",,7","  200",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-08-08","43.64759","-70.67498","92.7","HOLLIS, ME US","    3",",,7,0700","    0",",,7,0700","    0",",,7,0700","  328",",,7","  194",",,7","  194",",,7,0700",,,"    1",",,7","    1",",,7",,,,,,,,
"USC00173862","2018-08-09","43.64759","-70.67498","92.7","HOLLIS, ME US","   25",",,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  189",",,7","  211",",,7,0700",,,"    1",",,7",,,,,,,,,,
"USC00173862","2018-08-10","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  294",",,7","  161",",,7","  167",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-08-11","43.64759","-70.67498","92.7","HOLLIS, ME US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","  106",",,7","  128",",,7,0700",,,,,,,,,,,,,,
"USC00173862","2018-08-12","43.64759","-70.67498","92.7","HOLLIS, ME US","  132",",,7,0700","    0",",,7,0700","    0",",,7,0700","  233",",,7","  128",",,7","  167",",,7,0700",,,"    1",",,7",,,,,,,,,,
