"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00014756","2018-08-08","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    0",",,W,",,,,,"  272",",,W","  211",",,W",,,,,"   42",",,W",,,,,,,,," 1036",",,W",,,,,,,"  200",",,W","  200",",,W",,,,,,,"   67",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-09","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","   10",",,W,",,,,,"  283",",,W","  222",",,W",,,,,"   46",",,W",,,,,,,,," 1122",",,W",,,,,,,"  230",",,W","  230",",,W",,,,,,,"   89",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-10","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    0",",,W,",,,,,"  300",",,W","  183",",,W",,,,,"   29",",,W",,,,,,,,," 1005",",,W",,,,,,,"  130",",,W","  330",",,W",,,,,,,"   63",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-11","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    0","T,,W,",,,,,"  244",",,W","  178",",,W",,,,,"   35",",,W",,,,,,,,," 1053",",,W",,,,,,,"  130",",,W","  130",",,W",,,,,,,"   58",",,W","   67",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-12","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","   15",",,W,",,,,,"  244",",,W","  194",",,W",,,,,"   34",",,W",,,,,,,,," 1157",",,W",,,,,,,"  120",",,W","  130",",,W",,,,,,,"   67",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-13","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    0",",,W,",,,,,"  239",",,W","  183",",,W",,,,,"   35",",,W",,,,,,,,," 1839",",,W",,,,,,,"   80",",,W","  100",",,W",,,,,,,"   63",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-14","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    0",",,W,",,,,,"  267",",,W","  206",",,W",,,,,"   37",",,W",,,,,,,,," 1323",",,W",,,,,,,"  180",",,W","  190",",,W",,,,,,,"   63",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-15","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","   20",",,W,",,,,,"  267",",,W","  211",",,W",,,,,"   53",",,W",,,,,,,,," 1555",",,W",,,,,,,"  260",",,W","  270",",,W",,,,,,,"   89",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-16","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    0",",,W,",,,,,"  306",",,W","  222",",,W",,,,,"   47",",,W",,,,,,,,," 1345",",,W",,,,,,,"  240",",,W","  250",",,W",,,,,,,"   89",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-17","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    0",",,W,",,,,,"  283",",,W","  189",",,W",,,,,"   29",",,W",,,,,,,,," 1242",",,W",,,,,,,"  230",",,W","  220",",,W",,,,,,,"   54",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-18","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","   15",",,W,",,,,,"  272",",,W","  200",",,W",,,,,"   48",",,W",,,,,,,,," 0638",",,W",,,,,,,"  220",",,W","  220",",,W",,,,,,,"   98",",,W","  125",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-19","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","    3",",,W,",,,,,"  222",",,W","  189",",,W",,,,,"   70",",,W",,,,,,,,," 1233",",,W",,,,,,,"   30",",,W","   20",",,W",,,,,,,"  107",",,W","  134",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-20","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","   10",",,W,",,,,,"  211",",,W","  189",",,W",,,,,"   61",",,W",,,,,,,,," 1228",",,W",,,,,,,"   40",",,W","   40",",,W",,,,,,,"   98",",,W","  125",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014756","2018-08-21","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","   18",",,W,",,,,,"  217",",,W","  183",",,W",,,,,"   41",",,W",,,,,,,,," 0546",",,W",,,,,,,"   50",",,W","   40",",,W",,,,,,,"   72",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
