"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00426568","2018-04-02","40.1345","-109.6435","1424.6","OURAY 4 NE, UT US","    0",",,7,1600","    0",",,7,","    0",",,7,1600","  211",",,7","   -6",",,7",,,,,,,,,"  183",",,7,1600",,,,,,,,,,,,
"USC00426568","2018-04-03","40.1345","-109.6435","1424.6","OURAY 4 NE, UT US","    0",",,7,1600","    0",",,7,","    0",",,7,1600","  183",",,7","  -44",",,7",,,,,,,,,"   89",",,7,1600",,,,,,,,,,,,
"USC00426568","2018-04-04","40.1345","-109.6435","1424.6","OURAY 4 NE, UT US","    0",",,7,1600","    0",",,7,","    0",",,7,1600","  139",",,7","  -44",",,7",,,,,,,,,"  139",",,7,1600",,,,,,,,,,,,
"USC00426568","2018-04-05","40.1345","-109.6435","1424.6","OURAY 4 NE, UT US","    0",",,7,1600","    0",",,7,","    0",",,7,1600","  172",",,7","  -11",",,7",,,,,,,,,"  172",",,7,1600",,,,,,,,,,,,
"USC00426568","2018-04-06","40.1345","-109.6435","1424.6","OURAY 4 NE, UT US",,,"    0",",,7,","    0",",,7,1600","  178",",,7","   72",",,7",,,,,,,,,"  178",",,7,1600",,,,,,,,,,,,
"USC00426568","2018-04-07","40.1345","-109.6435","1424.6","OURAY 4 NE, UT US",,,"    0",",,7,","    0",",,7,1600","  178",",,7","   50",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00426568","2018-04-08","40.1345","-109.6435","1424.6","OURAY 4 NE, UT US",,,"    0",",,7,","    0",",,7,1600","  150",",,7","   44",",,7","    3",",,7",,,"   81",",,7",,,,,,,,,,,,,,,,
"USC00426568","2018-04-09","40.1345","-109.6435","1424.6","OURAY 4 NE, UT US","    0",",,7,1600","    0",",,7,","    0",",,7,1600","  161",",,7","    6",",,7",,,,,,,,,"  161",",,7,1600",,,,,,,,,,,,
"USC00426568","2018-04-10","40.1345","-109.6435","1424.6","OURAY 4 NE, UT US","    0",",,7,1600","    0",",,7,","    0",",,7,1600","  189",",,7","  -11",",,7",,,,,,,,,"  178",",,7,1600",,,,,,,,,,,,
"USC00426568","2018-04-11","40.1345","-109.6435","1424.6","OURAY 4 NE, UT US","    0",",,7,1600","    0",",,7,","    0",",,7,1600","  261",",,7","   61",",,7",,,,,,,,,"  250",",,7,1600",,,,,,,,,,,,
"USC00426568","2018-04-12","40.1345","-109.6435","1424.6","OURAY 4 NE, UT US","    0",",,7,1600","    0",",,7,","    0",",,7,1600","  261",",,7","   78",",,7",,,,,,,,,"   94",",,7,1600",,,,,,,,,,,,
"USC00426568","2018-04-13","40.1345","-109.6435","1424.6","OURAY 4 NE, UT US","    0",",,7,1600","    0",",,7,","    0",",,7,1600","  117",",,7","    0",",,7",,,,,,,,,"  106",",,7,1600",,,,,,,,,,,,
"USC00426568","2018-04-14","40.1345","-109.6435","1424.6","OURAY 4 NE, UT US","    0",",,7,1600","    0",",,7,","    0",",,7,1600","  161",",,7","  -33",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00426568","2018-04-15","40.1345","-109.6435","1424.6","OURAY 4 NE, UT US","    0",",,7,1600","    0",",,7,","    0",",,7,1600","  183",",,7","    6",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00426568","2018-04-16","40.1345","-109.6435","1424.6","OURAY 4 NE, UT US","    0",",,7,1600","    0",",,7,","    0",",,7,1600","  244",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00426568","2018-04-17","40.1345","-109.6435","1424.6","OURAY 4 NE, UT US","    3",",,7,1600","    0",",,7,","    0",",,7,1600","  117",",,7","   39",",,7",,,,,,,,,"  100",",,7,1600",,,,,,,,,,,,
