"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"USC00146498","2018-06-21","38.6449","-95.566","324.0","POMONA LAKE, KS US","   18",",,7,0700","    0",",,7,0700","    0",",,7,0700","  300",",,7","  167",",,7",,,,,,,"   61",",,7",,,,,,,,,"  200",",,7","  350",",,7","  178",",,7,0700",,,,,,
"USC00146498","2018-06-22","38.6449","-95.566","324.0","POMONA LAKE, KS US","    5",",,7,0700","    0",",,7,0700","    0",",,7,0700","  250",",,7","  172",",,7",,,,,,,"   33",",,7",,,,,,,,,"  200",",,7","  350",",,7","  194",",,7,0700",,,,,,
"USC00146498","2018-06-23","38.6449","-95.566","324.0","POMONA LAKE, KS US","    5",",,7,0700","    0",",,7,0700","    0",",,7,0700","  239",",,7","  172",",,7",,,,,,,"   38",",,7",,,,,,,,,"  217",",,7","  311",",,7","  189",",,7,0700",,,,,,
"USC00146498","2018-06-24","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  322",",,7","  178",",,7",,,,,,,"   71",",,7",,,,,,,,,"  217",",,7","  383",",,7","  217",",,7,0700","   39",",,7",,,,
"USC00146498","2018-06-25","38.6449","-95.566","324.0","POMONA LAKE, KS US","  109",",,7,0700","    0",",,7,0700","    0",",,7,0700","  294",",,7","  206",",,7",,,,,,,"   41",",,7",,,,,,,,,"  244",",,7","  339",",,7","  206",",,7,0700","   58",",,7",,,,
"USC00146498","2018-06-26","38.6449","-95.566","324.0","POMONA LAKE, KS US","    8",",,7,0700","    0",",,7,0700","    0",",,7,0700","  306",",,7","  206",",,7",,,,,,,"   71",",,7",,,,,,,,,"  244",",,7","  356",",,7","  222",",,7,0700",,,,,,
"USC00146498","2018-06-27","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  333",",,7","  217",",,7",,,,,,,"   81",",,7",,,,,,,,,"  244",",,7","  372",",,7","  233",",,7,0700",,,,,,
"USC00146498","2018-06-28","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  361",",,7","  222",",,7",,,,,,,"   81",",,7",,,,,,,,,"  261",",,7","  422",",,7","  267",",,7,0700",,,,,,
"USC00146498","2018-06-29","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  378",",,7","  256",",,7",,,,,,,"   81",",,7",,,,,,,,,"  267",",,7","  411",",,7","  272",",,7,0700","  154",",,7",,,,
"USC00146498","2018-06-30","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  367",",,7","  256",",,7",,,,,,,"  122",",,7",,,,,,,,,"  267",",,7","  394",",,7","  278",",,7,0700",,,,,,
"USC00146498","2018-07-01","38.6449","-95.566","324.0","POMONA LAKE, KS US","  114",",,7,0700","    0",",,7,0700","    0",",,7,0700","  367",",,7","  206",",,7",,,,,,,"  127",",,7",,,,,,,,,"  250",",,7","  400",",,7","  206",",,7,0700",,,,,,
"USC00146498","2018-07-02","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  306",",,7","  194",",,7",,,,,,,"   23",",,7",,,,,,,,,"  244",",,7","  400",",,7","  211",",,7,0700",,,,,,
"USC00146498","2018-07-03","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  333",",,7","  211",",,7",,,,,,,"  122",",,7",,,,,,,,,"  244",",,7","  400",",,7","  239",",,7,0700","   76",",,7",,,,
"USC00146498","2018-07-04","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  372",",,7","  228",",,7",,,,,,,"   97",",,7",,,,,,,,,"  261",",,7","  406",",,7","  239",",,7,0700",,,,,,
"USC00146498","2018-07-05","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  356",",,7","  233",",,7",,,,,,,"   81",",,7",,,,,,,,,"  261",",,7","  406",",,7","  256",",,7,0700",,,,,,
"USC00146498","2018-07-06","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  361",",,7","  228",",,7",,,,,,,"  102",",,7",,,,,,,,,"  272",",,7","  417",",,7","  256",",,7,0700","  151",",,7",,,,
"USC00146498","2018-07-07","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  344",",,7","  200",",,7",,,,,,,"   58",",,7",,,,,,,,,"  244",",,7","  394",",,7","  211",",,7,0700",,,,,,
"USC00146498","2018-07-08","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  333",",,7","  167",",,7",,,,,,,"   66",",,7",,,,,,,,,"  211",",,7","  394",",,7","  200",",,7,0700",,,,,,
"USC00146498","2018-07-09","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  344",",,7","  178",",,7",,,,,,,"  124",",,7",,,,,,,,,"  211",",,7","  372",",,7","  217",",,7,0700",,,,,,
"USC00146498","2018-07-10","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  361",",,7","  206",",,7",,,,,,,"   84",",,7",,,,,,,,,"  228",",,7","  394",",,7","  211",",,7,0700",,,,,,
"USC00146498","2018-07-11","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  378",",,7","  211",",,7",,,,,,,"   84",",,7",,,,,,,,,"  228",",,7","  400",",,7","  244",",,7,0700",,,,,,
"USC00146498","2018-07-12","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  383",",,7","  239",",,7",,,,,,,"   99",",,7",,,,,,,,,"  228",",,7","  400",",,7","  244",",,7,0700",,,,,,
"USC00146498","2018-07-13","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  389",",,7","  233",",,7",,,,,,,"  109",",,7",,,,,,,,,"  228",",,7","  400",",,7","  239",",,7,0700",,,,,,
"USC00146498","2018-07-14","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  378",",,7","  233",",,7",,,,,,,"  104",",,7",,,,,,,,,"  228",",,7","  400",",,7","  239",",,7,0700",,,,,,
"USC00146498","2018-07-15","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  311",",,7","  211",",,7",,,,,,,"   30",",,7",,,,,,,,,"  250",",,7","  339",",,7","  244",",,7,0700",,,,,,
"USC00146498","2018-07-16","38.6449","-95.566","324.0","POMONA LAKE, KS US","  274",",,7,0700","    0",",,7,0700","    0",",,7,0700","  372",",,7","  217",",,7",,,,,,,"   81",",,7",,,,,,,,,"  256",",,7","  394",",,7","  244",",,7,0700",,,,,,
"USC00146498","2018-07-17","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  356",",,7","  222",",,7",,,,,,,"   66",",,7",,,,,,,,,"  261",",,7","  383",",,7","  239",",,7,0700",,,,,,
"USC00146498","2018-07-18","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  306",",,7","  206",",,7",,,,,,,"   30",",,7",,,,,,,,,"  239",",,7","  383",",,7","  211",",,7,0700",,,,,,
"USC00146498","2018-07-19","38.6449","-95.566","324.0","POMONA LAKE, KS US","   56",",,7,0700","    0",",,7,0700","    0",",,7,0700","  339",",,7","  211",",,7",,,,,,,"   56",",,7",,,,,,,,,"  239",",,7","  383",",,7","  233",",,7,0700",,,,,,
"USC00146498","2018-07-20","38.6449","-95.566","324.0","POMONA LAKE, KS US","   38",",,7,0700","    0",",,7,0700","    0",",,7,0700","  367",",,7","  217",",,7",,,,,,,"   43",",,7",,,,,,,,,"  239",",,7","  383",",,7","  239",",,7,0700",,,,,,
"USC00146498","2018-07-21","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  356",",,7","  211",",,7",,,,,,,"   89",",,7",,,,,,,,,"  239",",,7","  383",",,7","  222",",,7,0700",,,,,,
"USC00146498","2018-07-22","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  339",",,7","  206",",,7",,,,,,,"   91",",,7",,,,,,,,,"  228",",,7","  383",",,7","  217",",,7,0700","   48",",,7",,,,
"USC00146498","2018-07-23","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  333",",,7","  200",",,7",,,,,,,"   66",",,7",,,,,,,,,"  228",",,7","  378",",,7","  217",",,7,0700",,,,,,
"USC00146498","2018-07-24","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  317",",,7","  194",",,7",,,,,,,"   74",",,7",,,,,,,,,"  228",",,7","  367",",,7","  217",",,7,0700","   32",",,7",,,,
"USC00146498","2018-07-25","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  339",",,7","  183",",,7",,,,,,,"  114",",,7",,,,,,,,,"  228",",,7","  378",",,7","  183",",,7,0700",,,,,,
"USC00146498","2018-07-26","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  344",",,7","  183",",,7",,,,,,,"   71",",,7",,,,,,,,,"  222",",,7","  378",",,7","  233",",,7,0700",,,,,,
"USC00146498","2018-07-27","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  294",",,7","  183",",,7",,,,,,,"   51",",,7",,,,,,,,,"  206",",,7","  378",",,7","  194",",,7,0700",,,,,,
"USC00146498","2018-07-28","38.6449","-95.566","324.0","POMONA LAKE, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  328",",,7","  189",",,7",,,,,,,"   81",",,7",,,,,,,,,"  200",",,7","  378",",,7","  211",",,7,0700",,,,,,
