"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DATN","DATN_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES"
"ASN00058212","2018-06-10","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    4",",,a","  201",",,a","  138",",,a",,,,
"ASN00058212","2018-06-11","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    2",",,a","  196",",,a","  124",",,a",,,,
"ASN00058212","2018-06-12","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  231",",,a","   91",",,a",,,,
"ASN00058212","2018-06-13","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  238",",,a","  129",",,a",,,,
"ASN00058212","2018-06-14","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  220",",,a","  131",",,a",,,,
"ASN00058212","2018-06-15","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  221",",,a","   91",",,a",,,,
"ASN00058212","2018-06-16","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  225",",,a","  108",",,a",,,,
"ASN00058212","2018-06-17","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  189",",,a","   92",",,a",,,,
"ASN00058212","2018-06-18","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  183",",,a","   49",",,a",,,,
"ASN00058212","2018-06-19","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  176",",,a","   86",",,a",,,,
"ASN00058212","2018-06-20","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  187",",,a","  109",",,a",,,,
"ASN00058212","2018-06-21","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  192",",,a","  118",",,a",,,,
"ASN00058212","2018-06-22","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  194",",,a","  119",",,a",,,,
"ASN00058212","2018-06-23","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  214",",,a","   96",",,a",,,,
"ASN00058212","2018-06-24","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  198",",,a","  105",",,a",,,,
"ASN00058212","2018-06-25","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  189",",,a","  105",",,a",,,,
"ASN00058212","2018-06-26","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  179",",,a","  102",",,a",,,,
"ASN00058212","2018-06-27","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","  294",",,a","  154",",,a","  118",",,a",,,,
"ASN00058212","2018-06-28","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","   92",",,a","  192",",,a","  127",",,a",,,,
"ASN00058212","2018-06-29","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    2",",,a","  222",",,a","  117",",,a",,,,
"ASN00058212","2018-06-30","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    2",",,a","  214",",,a","  114",",,a",,,,
"ASN00058212","2018-07-01","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    2",",,a","  196",",,a","  127",",,a",,,,
"ASN00058212","2018-07-02","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","   26",",,a","  179",",,a","  139",",,a",,,,
"ASN00058212","2018-07-03","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","   12",",,a","  196",",,a","  131",",,a",,,,
"ASN00058212","2018-07-04","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","  320",",,a","  215",",,a","  141",",,a",,,,
"ASN00058212","2018-07-05","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","  130",",,a","  229",",,a","  159",",,a",,,,
"ASN00058212","2018-07-06","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","   26",",,a","  257",",,a","  164",",,a",,,,
"ASN00058212","2018-07-07","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    8",",,a","  256",",,a","  164",",,a",,,,
"ASN00058212","2018-07-08","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    8",",,a","  208",",,a","   59",",,a",,,,
"ASN00058212","2018-07-09","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  177",",,a","   91",",,a",,,,
"ASN00058212","2018-07-10","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  184",",,a","   96",",,a",,,,
"ASN00058212","2018-07-11","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  190",",,a","  106",",,a",,,,
"ASN00058212","2018-07-12","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","   12",",,a","  208",",,a","  124",",,a",,,,
"ASN00058212","2018-07-13","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    8",",,a","  173",",,a","   97",",,a",,,,
"ASN00058212","2018-07-14","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  174",",,a","   65",",,a",,,,
"ASN00058212","2018-07-15","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  213",",,a","   55",",,a",,,,
"ASN00058212","2018-07-16","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  230",",,a","   62",",,a",,,,
"ASN00058212","2018-07-17","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  218",",,a","   68",",,a",,,,
"ASN00058212","2018-07-18","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  237",",,a","   85",",,a",,,,
"ASN00058212","2018-07-19","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  256",",,a","   99",",,a",,,,
"ASN00058212","2018-07-20","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  252",",,a","  103",",,a",,,,
"ASN00058212","2018-07-21","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  171",",,a","   83",",,a",,,,
"ASN00058212","2018-07-22","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  180",",,a","   77",",,a",,,,
"ASN00058212","2018-07-23","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  226",",,a","   63",",,a",,,,
"ASN00058212","2018-07-24","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  249",",,a","   86",",,a",,,,
"ASN00058212","2018-07-25","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  218",",,a","  121",",,a",,,,
"ASN00058212","2018-07-26","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  212",",,a","  109",",,a",,,,
"ASN00058212","2018-07-27","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  263",",,a","  109",",,a",,,,
"ASN00058212","2018-07-28","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  215",",,a","  122",",,a",,,,
"ASN00058212","2018-07-29","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    2",",,a","  266",",,a","  115",",,a",,,,
"ASN00058212","2018-07-30","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","   14",",,a","  217",",,a","  134",",,a",,,,
"ASN00058212","2018-07-31","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  236",",,a","   70",",,a",,,,
"ASN00058212","2018-08-01","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  202",",,a","   96",",,a",,,,
"ASN00058212","2018-08-02","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  201",",,a","   80",",,a",,,,
"ASN00058212","2018-08-03","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  212",",,a","  118",",,a",,,,
"ASN00058212","2018-08-04","-29.183","153.3964","62.5","EVANS HEAD RAAF BOMBING RANGE, AS","    0",",,a","  244",",,a","  120",",,a",,,,
