"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00054773","2018-07-06","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0",",,W",,,"  250",",,W","  106",",,W","   47",",,W",,," 1459",",,W",,,,,"  350",",,W","  320",",,W","   94",",,W","  143",",,W",,,,,,,,,,
"USW00054773","2018-07-07","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0",",,W",,,"  261",",,W","   83",",,W","   10",",,W",,," 1450",",,W",,,,,"  300",",,W","  300",",,W","   58",",,W","   67",",,W",,,,,,,,,,
"USW00054773","2018-07-08","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0",",,W",,,"  289",",,W","  106",",,W","   14",",,W",,," 1013",",,W",,,,,"  180",",,W","  210",",,W","   54",",,W","   72",",,W",,,,,,,,,,
"USW00054773","2018-07-09","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0",",,W",,,"  322",",,W","  139",",,W","   19",",,W",,," 1406",",,W",,,,,"  200",",,W","  190",",,W","   63",",,W","   81",",,W",,,,,,,,,,
"USW00054773","2018-07-10","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0","T,,W",,,"  294",",,W","  156",",,W","   30",",,W",,," 1327",",,W",,,,,"  320",",,W","  270",",,W","   72",",,W","   94",",,W",,,,,,,,,,
"USW00054773","2018-07-11","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0",",,W",,,"  272",",,W","  122",",,W","   29",",,W",,," 1336",",,W",,,,,"  320",",,W","  310",",,W","   81",",,W","  112",",,W",,,,,,,,,,
"USW00054773","2018-07-12","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0",",,W",,,"  300",",,W","  106",",,W","   13",",,W",,," 1054",",,W",,,,,"  320",",,W","  240",",,W","   45",",,W","   63",",,W",,,,,,,,,,
"USW00054773","2018-07-13","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0",",,W",,,"  317",",,W","  128",",,W","   17",",,W",,," 1548",",,W",,,,,"  200",",,W","  250",",,W","   54",",,W","   76",",,W",,,,,,,,,,
"USW00054773","2018-07-14","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0","T,,W",,,"  311",",,W","  222",",,W","   26",",,W",,," 1505",",,W",,,,,"  320",",,W","  320",",,W","   58",",,W","   76",",,W",,,,,,,,,,
"USW00054773","2018-07-15","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","   23",",,W",,,"  322",",,W","  178",",,W","   16",",,W",,," 1445",",,W",,,,,"  310",",,W","  320",",,W","   58",",,W","   72",",,W",,,,,,,,,,
"USW00054773","2018-07-16","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0","T,,W",,,"  350",",,W","  167",",,W","   17",",,W",,," 1750",",,W",,,,,"  260",",,W","  260",",,W","   67",",,W","   89",",,W",,,,,,,,,,
"USW00054773","2018-07-17","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","   28",",,W",,,"  283",",,W","  206",",,W","   42",",,W",,," 1421",",,W",,,,,"  300",",,W","  300",",,W","   89",",,W","  152",",,W",,,,,,,,,,
"USW00054773","2018-07-18","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0",",,W",,,"  244",",,W","  106",",,W","   36",",,W",,," 0225",",,W",,,,,"  320",",,W","   10",",,W","   72",",,W","   98",",,W",,,,,,,,,,
"USW00054773","2018-07-19","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US",,,,,"  283",",,W","   89",",,W","   13",",,W",,," 1109",",,W",,,,,"  190",",,W","  230",",,W","   54",",,W","   76",",,W",,,,,,,,,,
"USW00054773","2018-07-20","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0",",,W",,,"  322",",,W","  144",",,W","   23",",,W",,," 1336",",,W",,,,,"  180",",,W","  180",",,W","   63",",,W","   98",",,W",,,,,,,,,,
"USW00054773","2018-07-21","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0",",,W",,,"  294",",,W","  183",",,W","   20",",,W",,," 1104",",,W",,,,,"  100",",,W","  140",",,W","   54",",,W","   89",",,W",,,,,,,,,,
"USW00054773","2018-07-22","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","   43",",,W",,,"  317",",,W","  172",",,W","   37",",,W",,," 0904",",,W",,,,,"  180",",,W","  140",",,W","   89",",,W","  148",",,W",,,,,,,,,,
"USW00054773","2018-07-23","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","   89",",,W",,,"  300",",,W","  222",",,W","   22",",,W",,," 0845",",,W",,,,,"  180",",,W","  140",",,W","   63",",,W","   98",",,W",,,,,,,,,,
"USW00054773","2018-07-24","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","  295",",,W",,,"  261",",,W","  222",",,W","   23",",,W",,," 1027",",,W",,,,,"  180",",,W","  120",",,W","   72",",,W","  107",",,W",,,,,,,,,,
"USW00054773","2018-07-25","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","  150",",,W",,,"  250",",,W","  211",",,W","   22",",,W",,," 0959",",,W",,,,,"  170",",,W","  190",",,W","   63",",,W","   94",",,W",,,,,,,,,,
"USW00054773","2018-07-26","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    3",",,W",,,"  300",",,W","  189",",,W","   19",",,W",,," 1142",",,W",,,,,"  320",",,W","  250",",,W","   54",",,W","   72",",,W",,,,,,,,,,
"USW00054773","2018-07-27","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0","T,,W",,,"  283",",,W","  150",",,W","   22",",,W",,," 1310",",,W",,,,,"  260",",,W","  250",",,W","   67",",,W","   85",",,W",,,,,,,,,,
"USW00054773","2018-07-28","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    3",",,W",,,"  261",",,W","  144",",,W","   29",",,W",,," 1542",",,W",,,,,"  300",",,W","  240",",,W","   72",",,W","   94",",,W",,,,,,,,,,
"USW00054773","2018-07-29","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0","T,,W",,,"  256",",,W","  144",",,W","   16",",,W",,," 1027",",,W",,,,,"  320",",,W","  310",",,W","   58",",,W","   67",",,W",,,,,,,,,,
"USW00054773","2018-07-30","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0",",,W",,,"  278",",,W","  133",",,W","   11",",,W",,," 1858",",,W",,,,,"  210",",,W","  200",",,W","   63",",,W","   85",",,W",,,,,,,,,,
"USW00054773","2018-07-31","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    8",",,W",,,"  283",",,W","  178",",,W","   13",",,W",,," 1249",",,W",,,,,"  190",",,W","  190",",,W","   54",",,W","   72",",,W",,,,,,,,,,
"USW00054773","2018-08-01","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","  109",",,W",,,"  289",",,W","  211",",,W","   19",",,W",,," 1739",",,W",,,,,"  180",",,W","  170",",,W","   67",",,W","   89",",,W",,,,,,,,,,
"USW00054773","2018-08-02","43.34972","-76.38472","144.8","FULTON OSWEGO CO AIRPORT, NY US","    0","T,,W",,,"  272",",,W","  206",",,W","   17",",,W",,," 0842",",,W",,,,,"  230",",,W","  240",",,W","   45",",,W","   67",",,W",,,,,,,,,,
