"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES"
"USW00094178","2018-07-06","42.48194","-114.48694","1265.2","TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US","    0",",,W",,,"  328",",,W","  178",",,W","   52",",,W",,,,,,,,,"  270",",,W","  260",",,W","   89",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094178","2018-07-07","42.48194","-114.48694","1265.2","TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US","    0",",,W",,,"  328",",,W","  172",",,W","   37",",,W",,,,,,,,,"  190",",,W","  190",",,W","   72",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094178","2018-07-08","42.48194","-114.48694","1265.2","TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US","    0",",,W",,,"  350",",,W","  189",",,W","   33",",,W",,,,,,,,,"  180",",,W","  170",",,W","   63",",,W","   76",",,W",,,,,,,,,,,,,,,"    1",",,W",,,,
"USW00094178","2018-07-09","42.48194","-114.48694","1265.2","TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US","    0",",,W",,,"  356",",,W","  178",",,W","   42",",,W",,,,,,,,,"  170",",,W","  190",",,W","   72",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094178","2018-07-10","42.48194","-114.48694","1265.2","TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US","    0",",,W",,,"  311",",,W","  178",",,W","   64",",,W",,,,,,,,,"  260",",,W","  260",",,W","  107",",,W","  130",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094178","2018-07-11","42.48194","-114.48694","1265.2","TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US","    0",",,W",,,"  317",",,W","  150",",,W","   51",",,W",,,,,,,,,"  240",",,W","  240",",,W","   76",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094178","2018-07-12","42.48194","-114.48694","1265.2","TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US","    0",",,W",,,"  328",",,W","  156",",,W","   55",",,W",,,,,,,,,"  260",",,W","  180",",,W","   72",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094178","2018-07-13","42.48194","-114.48694","1265.2","TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US","    0",",,W",,,"  344",",,W","  161",",,W","   43",",,W",,,,,,,,,"  180",",,W","  180",",,W","   76",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094178","2018-07-14","42.48194","-114.48694","1265.2","TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US","    0",",,W",,,"  361",",,W","  200",",,W","   50",",,W",,,,,,,,,"  190",",,W","  180",",,W","   72",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094178","2018-07-15","42.48194","-114.48694","1265.2","TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US","    0",",,W",,,"  361",",,W","  200",",,W","   50",",,W",,,,,,,,,"  250",",,W","  240",",,W","   98",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,
