"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00400235","2016-09-26","34.9925","-86.85611","269.7","ARDMORE, TN US","    0",",,7,0800","    0",",,7","    0",",,7","  372",",,7","  183",",,7",,,,,,,"  183",",,7,0800"
"USC00400235","2016-09-27","34.9925","-86.85611","269.7","ARDMORE, TN US","    0","T,,7,0800","    0",",,7","    0",",,7","  333",",,7","  183",",,7",,,,,,,"  200",",,7,0800"
"USC00400235","2016-09-28","34.9925","-86.85611","269.7","ARDMORE, TN US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  144",",,7",,,,,,,"  144",",,7,0800"
"USC00400235","2016-09-29","34.9925","-86.85611","269.7","ARDMORE, TN US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  106",",,7",,,,,,,"  106",",,7,0800"
"USC00400235","2016-09-30","34.9925","-86.85611","269.7","ARDMORE, TN US","    0",",,7,0800","    0",",,7","    0",",,7","  250",",,7","  106",",,7",,,,,,,"  111",",,7,0800"
"USC00400235","2016-10-01","34.9925","-86.85611","269.7","ARDMORE, TN US","    0",",,7,0800","    0",",,7","    0",",,7","  233",",,7","   94",",,7",,,,,,,"   94",",,7,0800"
"USC00400235","2016-10-02","34.9925","-86.85611","269.7","ARDMORE, TN US","    0",",,7,0800","    0",",,7","    0",",,7","  272",",,7","   94",",,7",,,,,,,"  111",",,7,0800"
"USC00400235","2016-10-03","34.9925","-86.85611","269.7","ARDMORE, TN US","    0",",,7,0800","    0",",,7","    0",",,7","  283",",,7","  111",",,7",,,,,,,"  128",",,7,0800"
"USC00400235","2016-10-04","34.9925","-86.85611","269.7","ARDMORE, TN US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  122",",,7",,,,,,,"  122",",,7,0800"
"USC00400235","2016-10-05","34.9925","-86.85611","269.7","ARDMORE, TN US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  122",",,7",,,,,,,"  144",",,7,0800"
"USC00400235","2016-10-06","34.9925","-86.85611","269.7","ARDMORE, TN US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  144",",,7",,,,,,,"  183",",,7,0800"
