"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV01","WV01_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00024133","2018-07-04","42.5416","-113.7661","1266.1","BURLEY MUNICIPAL AIRPORT, ID US","    0",",,W,2400",,,,,"  339",",,W","   44",",,W","   27",",,W",,,,,,,,,"   60",",,W","   60",",,W",,,"   72",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024133","2018-07-05","42.5416","-113.7661","1266.1","BURLEY MUNICIPAL AIRPORT, ID US","    0",",,W,2400",,,,,"  361",",,W","  122",",,W","   26",",,W",,,,,,,,,"  200",",,W","  210",",,W",,,"   67",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024133","2018-07-06","42.5416","-113.7661","1266.1","BURLEY MUNICIPAL AIRPORT, ID US","    0",",,W,2400",,,,,"  322",",,W","  133",",,W","   28",",,W",,,,,,,,,"  260",",,W","  240",",,W",,,"   76",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024133","2018-07-07","42.5416","-113.7661","1266.1","BURLEY MUNICIPAL AIRPORT, ID US","    0",",,W,2400",,,,,"  333",",,W","  122",",,W","   21",",,W",,,,,,,,,"  260",",,W","  240",",,W",,,"   58",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024133","2018-07-08","42.5416","-113.7661","1266.1","BURLEY MUNICIPAL AIRPORT, ID US","    0",",,W,2400",,,,,"  356",",,W","  161",",,W","   10",",,W",,,,,,,,,"   30",",,W","  310",",,W",,,"   36",",,W","   54",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024133","2018-07-09","42.5416","-113.7661","1266.1","BURLEY MUNICIPAL AIRPORT, ID US","    0",",,W,2400",,,,,"  350",",,W","  161",",,W","   21",",,W",,,,,,,,,"  190",",,W","  320",",,W",,,"   63",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024133","2018-07-10","42.5416","-113.7661","1266.1","BURLEY MUNICIPAL AIRPORT, ID US","    0",",,W,2400",,,,,"  306",",,W","  161",",,W","   51",",,W",,,,,,,,,"  260",",,W","  260",",,W",,,"   94",",,W","  125",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024133","2018-07-11","42.5416","-113.7661","1266.1","BURLEY MUNICIPAL AIRPORT, ID US","    0",",,W,2400",,,,,"  311",",,W","  139",",,W","   36",",,W",,,,,,,,,"  250",",,W","  290",",,W",,,"   58",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024133","2018-07-12","42.5416","-113.7661","1266.1","BURLEY MUNICIPAL AIRPORT, ID US","    0",",,W,2400",,,,,"  322",",,W","  128",",,W","   35",",,W",,,,,,,,,"  270",",,W","  270",",,W",,,"   63",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024133","2018-07-13","42.5416","-113.7661","1266.1","BURLEY MUNICIPAL AIRPORT, ID US","    0",",,W,2400",,,,,"  333",",,W","  106",",,W","   25",",,W",,,,,,,,,"  290",",,W","  290",",,W",,,"   63",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
