"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00388786","2018-06-16","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  183",",,7",,,,,,,,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-06-17","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  194",",,7",,,,,,,,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-06-18","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  211",",,7",,,,,,,,,,,,,,,"  256",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-06-19","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  211",",,7",,,,,,,,,,,,,,,"  256",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-06-20","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  217",",,7",,,,,,,,,,,,,,,"  261",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-06-21","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  217",",,7",,,,,,,,,,,,,,,"  272",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-06-22","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  217",",,7",,,,,,,,,,,,,,,"  250",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-06-23","34.60521","-81.66293","146.3","UNION 8 S, SC US","   61",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  200",",,7",,,,,,,,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-06-24","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  206",",,7",,,,,,,,,,,,,,,"  256",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-06-25","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  200",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00388786","2018-06-26","34.60521","-81.66293","146.3","UNION 8 S, SC US",,,"    0",",,7,0800","    0",",,7,0800","  350",",,7","  189",",,7",,,,,,,,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-06-27","34.60521","-81.66293","146.3","UNION 8 S, SC US",,,"    0",",,7,0800","    0",",,7,0800","  311",",,7","  200",",,7",,,"    2",",,7",,,,,,,"  378",",,7",,,"  211",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-06-28","34.60521","-81.66293","146.3","UNION 8 S, SC US","   48",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  200",",,7",,,,,,,,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-06-29","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  211",",,7",,,,,,,,,,,,,,,"  244",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-06-30","34.60521","-81.66293","146.3","UNION 8 S, SC US","  373",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  206",",,7",,,,,,,,,,,,,,,"  239",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-01","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  211",",,7",,,,,,,,,,,,,,,"  250",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-02","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  211",",,7",,,,,,,,,,,,,,,"  256",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-03","34.60521","-81.66293","146.3","UNION 8 S, SC US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  217",",,7",,,,,,,,,,,,,,,"  256",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-04","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  222",",,7",,,,,,,,,,,,,,,"  250",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-05","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  222",",,7",,,,,,,,,,,,,,,"  256",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-06","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  206",",,7",,,,,,,,,,,,,,,"  256",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-07","34.60521","-81.66293","146.3","UNION 8 S, SC US","   53",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  194",",,7",,,,,,,,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-08","34.60521","-81.66293","146.3","UNION 8 S, SC US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  256",",,7","  172",",,7",,,,,,,,,,,,,,,"  200",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-09","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  150",",,7",,,,,,,,,,,,,,,"  194",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-10","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  167",",,7",,,,,,,,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-11","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  194",",,7",,,,,,,,,,,,,,,"  256",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-12","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  217",",,7",,,,,,,,,,,,,,,"  256",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-13","34.60521","-81.66293","146.3","UNION 8 S, SC US","   48",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  228",",,7",,,,,,,,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-14","34.60521","-81.66293","146.3","UNION 8 S, SC US","   43",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  200",",,7",,,,,,,,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-15","34.60521","-81.66293","146.3","UNION 8 S, SC US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  211",",,7",,,,,,,,,,,,,,,"  239",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-16","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  211",",,7",,,,,,,,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-17","34.60521","-81.66293","146.3","UNION 8 S, SC US","   89",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  217",",,7",,,,,,,,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-18","34.60521","-81.66293","146.3","UNION 8 S, SC US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  206",",,7",,,,,,,,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-19","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  217",",,7",,,,,,,,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-20","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  200",",,7",,,,,,,,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-21","34.60521","-81.66293","146.3","UNION 8 S, SC US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  200",",,7",,,,,,,,,,,,,,,"  200",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-22","34.60521","-81.66293","146.3","UNION 8 S, SC US","   36",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  189",",,7",,,,,,,,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-23","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  183",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00388786","2018-07-24","34.60521","-81.66293","146.3","UNION 8 S, SC US","   15",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  189",",,7",,,,,,,,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-25","34.60521","-81.66293","146.3","UNION 8 S, SC US","  521",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  200",",,7",,,,,,,,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-26","34.60521","-81.66293","146.3","UNION 8 S, SC US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  194",",,7",,,,,,,,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-27","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  194",",,7",,,,,,,,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-28","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  194",",,7",,,,,,,,,,,,,,,"  239",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-29","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  194",",,7",,,,,,,,,,,,,,,"  278",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-30","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  206",",,7",,,,,,,,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-07-31","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  211",",,7",,,,,,,,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-01","34.60521","-81.66293","146.3","UNION 8 S, SC US","   18",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  200",",,7",,,,,,,,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-02","34.60521","-81.66293","146.3","UNION 8 S, SC US","  221",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  217",",,7",,,,,,,,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-03","34.60521","-81.66293","146.3","UNION 8 S, SC US","  521",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  206",",,7",,,,,,,,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-04","34.60521","-81.66293","146.3","UNION 8 S, SC US","   18",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  211",",,7",,,,,,,,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-05","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  211",",,7",,,,,,,,,,,,,,,"  250",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-06","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  211",",,7",,,,,,,,,,,,,,,"  244",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-07","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  206",",,7",,,,,,,,,,,,,,,"  239",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-08","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  211",",,7",,,,,,,,,,,,,,,"  239",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-09","34.60521","-81.66293","146.3","UNION 8 S, SC US","  130",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  194",",,7",,,,,,,,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-10","34.60521","-81.66293","146.3","UNION 8 S, SC US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  194",",,7",,,,,,,,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-11","34.60521","-81.66293","146.3","UNION 8 S, SC US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  206",",,7",,,,,,,,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-12","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  206",",,7",,,,,,,,,,,,,,,"  239",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-13","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  200",",,7",,,,,,,,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-14","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  189",",,7",,,,,,,,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-15","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  183",",,7",,,,,,,,,,,,,,,"  189",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-16","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  189",",,7",,,,,,,,,,,,,,,"  239",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-17","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  217",",,7",,,,,,,,,,,,,,,"  239",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-18","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  222",",,7",,,,,,,,,,,,,,,"  239",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-19","34.60521","-81.66293","146.3","UNION 8 S, SC US","   13",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  222",",,7",,,,,,,,,,,,,,,"  239",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-20","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  217",",,7",,,,,,,,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,
"USC00388786","2018-08-21","34.60521","-81.66293","146.3","UNION 8 S, SC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  222",",,7",,,,,,,,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,
