"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"AR000087078","2010-02-27","-24.7","-60.583","130.0","LAS LOMITAS, AR","   41",",,S","  270",",,S","  193",",,S","  227","H,,S"
"AR000087078","2010-02-28","-24.7","-60.583","130.0","LAS LOMITAS, AR","    0",",,S",,,"  190",",,S","  252","H,,S"
"AR000087078","2010-03-02","-24.7","-60.583","130.0","LAS LOMITAS, AR",,,"  345",",,S","  244",",,S","  308","H,,S"
"AR000087078","2010-03-03","-24.7","-60.583","130.0","LAS LOMITAS, AR",,,"  356",",,S",,,"  294","H,,S"
"AR000087078","2010-03-04","-24.7","-60.583","130.0","LAS LOMITAS, AR","  300",",,S","  350",",,S","  240",",,S","  266","H,,S"
"AR000087078","2010-03-06","-24.7","-60.583","130.0","LAS LOMITAS, AR","  201",",,S",,,"  133",",,S","  299","H,,S"
"AR000087078","2010-03-07","-24.7","-60.583","130.0","LAS LOMITAS, AR","    0",",,S",,,"  201",",,S","  315","H,,S"
"AR000087078","2010-03-09","-24.7","-60.583","130.0","LAS LOMITAS, AR",,,,,"  199",",,S","  303","H,,S"
"AR000087078","2010-03-11","-24.7","-60.583","130.0","LAS LOMITAS, AR",,,"  335",",,S","  225",",,S","  293","H,,S"
"AR000087078","2010-03-14","-24.7","-60.583","130.0","LAS LOMITAS, AR",,,,,"  223",",,S","  303","H,,S"
"AR000087078","2010-03-17","-24.7","-60.583","130.0","LAS LOMITAS, AR",,,,,"  227",",,S","  308","H,,S"
"AR000087078","2010-03-18","-24.7","-60.583","130.0","LAS LOMITAS, AR",,,,,"  245",",,S","  332","H,,S"
"AR000087078","2010-03-20","-24.7","-60.583","130.0","LAS LOMITAS, AR",,,"  385",",,S",,,"  301","H,,S"
"AR000087078","2010-03-21","-24.7","-60.583","130.0","LAS LOMITAS, AR",,,,,"  236",",,S","  333","H,,S"
