"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00487555","2018-05-25","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  272",",,7","   94",",,7","  267",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-05-26","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  311",",,7","  111",",,7","  294",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-05-27","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  294",",,7","  144",",,7","  222",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-05-28","43.245","-104.288","1185.7","REDBIRD, WY US","  386",",,7,1700","    0",",,7","    0",",,7,1700","  233",",,7","  117",",,7","  233",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-05-29","43.245","-104.288","1185.7","REDBIRD, WY US","  432",",,7,1700","    0",",,7","    0",",,7,1700","  233",",,7","  122",",,7","  156",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-05-30","43.245","-104.288","1185.7","REDBIRD, WY US","   15",",,7,1700","    0",",,7","    0",",,7,1700","  256",",,7","  111",",,7","  250",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-05-31","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  289",",,7","  111",",,7","  283",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-01","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  283",",,7","  150",",,7","  183",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-02","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  211",",,7","   94",",,7","  194",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-03","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  256",",,7","   44",",,7","  256",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-04","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  300",",,7","   83",",,7","  278",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-05","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  317",",,7","   89",",,7","  278",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-06","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  289",",,7","  111",",,7","  217",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-07","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  272",",,7","  144",",,7","  256",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-08","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  289",",,7","  122",",,7","  267",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-09","43.245","-104.288","1185.7","REDBIRD, WY US","   30",",,7,1700","    0",",,7","    0",",,7,1700","  300",",,7","  122",",,7","  283",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-10","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  322",",,7","  167",",,7","  289",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-11","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  289",",,7","   94",",,7","  256",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-12","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  256",",,7","   72",",,7","  217",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-13","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  328",",,7","   83",",,7","  322",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-14","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  367",",,7","  128",",,7","  317",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-15","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  333",",,7","  133",",,7","  217",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-16","43.245","-104.288","1185.7","REDBIRD, WY US","   41",",,7,1700","    0",",,7","    0",",,7,1700","  228",",,7","  144",",,7","  178",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-17","43.245","-104.288","1185.7","REDBIRD, WY US","  302",",,7,1700","    0",",,7","    0",",,7,1700","  178",",,7","  133",",,7","  139",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-18","43.245","-104.288","1185.7","REDBIRD, WY US","  188",",,7,1700","    0",",,7","    0",",,7,1700","  156",",,7","  111",",,7","  139",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-19","43.245","-104.288","1185.7","REDBIRD, WY US","  244",",,7,1700","    0",",,7","    0",",,7,1700","  178",",,7","  122",",,7","  128",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-20","43.245","-104.288","1185.7","REDBIRD, WY US","   30",",,7,1700","    0",",,7","    0",",,7,1700","  200",",,7","  122",",,7","  156",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-21","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  250",",,7","   89",",,7","  244",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-22","43.245","-104.288","1185.7","REDBIRD, WY US","   79",",,7,1700","    0",",,7","    0",",,7,1700","  244",",,7","  122",",,7","  222",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-23","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  250",",,7","  122",",,7","  217",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-24","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  217",",,7","  122",",,7","  189",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-25","43.245","-104.288","1185.7","REDBIRD, WY US","    8",",,7,1700","    0",",,7","    0",",,7,1700","  261",",,7","  106",",,7","  256",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-26","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  322",",,7","  117",",,7","  311",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-27","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  311",",,7","  167",",,7","  283",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-28","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  333",",,7","  161",",,7","  311",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-29","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  311",",,7","  161",",,7","  267",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-06-30","43.245","-104.288","1185.7","REDBIRD, WY US","    0","T,,7,1700","    0",",,7","    0",",,7,1700","  267",",,7","  106",",,7","  144",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-01","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  261",",,7","   56",",,7","  250",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-02","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  328",",,7","   94",",,7","  311",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-03","43.245","-104.288","1185.7","REDBIRD, WY US","    3",",,7,1700","    0",",,7","    0",",,7,1700","  328",",,7","  139",",,7","  250",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-04","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  256",",,7","  117",",,7","  228",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-05","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  272",",,7","  156",",,7","  272",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-06","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  339",",,7","  189",",,7","  339",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-07","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  372",",,7","  167",",,7","  367",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-08","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  367",",,7","  172",",,7","  317",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-09","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  361",",,7","  200",",,7","  344",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-10","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  367",",,7","  178",",,7","  350",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-11","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  350",",,7","  189",",,7","  311",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-12","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  311",",,7","  161",",,7","  267",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-13","43.245","-104.288","1185.7","REDBIRD, WY US","    5",",,7,1700","    0",",,7","    0",",,7,1700","  311",",,7","  128",",,7","  289",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-14","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  344",",,7","  189",",,7","  322",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-15","43.245","-104.288","1185.7","REDBIRD, WY US","   18",",,7,1700","    0",",,7","    0",",,7,1700","  322",",,7","  161",",,7","  233",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-16","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  311",",,7","  156",",,7","  289",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-17","43.245","-104.288","1185.7","REDBIRD, WY US","  157",",,7,1700","    0",",,7","    0",",,7,1700","  300",",,7","  133",",,7","  294",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-18","43.245","-104.288","1185.7","REDBIRD, WY US","   56",",,7,1700","    0",",,7","    0",",,7,1700","  294",",,7","  122",",,7","  294",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-19","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  311",",,7","  150",",,7","  306",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-20","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  306",",,7","  122",",,7","  294",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-21","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  344",",,7","  183",",,7","  328",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-22","43.245","-104.288","1185.7","REDBIRD, WY US","   61",",,7,1700","    0",",,7","    0",",,7,1700","  328",",,7","  161",",,7","  244",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-23","43.245","-104.288","1185.7","REDBIRD, WY US","    0",",,7,1700","    0",",,7","    0",",,7,1700","  283",",,7","  139",",,7","  283",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-24","43.245","-104.288","1185.7","REDBIRD, WY US","    3",",,7,1700","    0",",,7","    0",",,7,1700","  306",",,7","  139",",,7","  272",",,7,1700",,,,,,,,,,,,,,,,,,
"USC00487555","2018-07-25","43.245","-104.288","1185.7","REDBIRD, WY US","  201",",,7,1700","    0",",,7","    0",",,7,1700","  272",",,7","  139",",,7","  233",",,7,1700",,,,,,,,,,,,,,,,,,
