"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SX32","SX32_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00143093","2019-04-01","39.36628","-101.70033","1114.3","GOODLAND WEATHER FORECAST OFFICE, KS US",,,,,"    0",",,7,",,,,,,,"  -22",",,7","   78",",,7",,,,,,,,
"USC00143093","2019-04-02","39.36628","-101.70033","1114.3","GOODLAND WEATHER FORECAST OFFICE, KS US",,,,,"    0",",,7,",,,,,,,"   50",",,7","   94",",,7",,,,,,,,
"USC00143093","2019-04-03","39.36628","-101.70033","1114.3","GOODLAND WEATHER FORECAST OFFICE, KS US",,,,,"    0",",,7,",,,,,,,"   44",",,7","   94",",,7",,,,,,,,
"USC00143093","2019-04-04","39.36628","-101.70033","1114.3","GOODLAND WEATHER FORECAST OFFICE, KS US",,,,,"    0",",,7,2400",,,,,,,"   56",",,7","  111",",,7",,,,,,,,
"USC00143093","2019-04-05","39.36628","-101.70033","1114.3","GOODLAND WEATHER FORECAST OFFICE, KS US",,,,,"    0",",,7,2400",,,,,,,"   72",",,7","  122",",,7",,,,,,,,
"USC00143093","2019-04-06","39.36628","-101.70033","1114.3","GOODLAND WEATHER FORECAST OFFICE, KS US",,,,,"    0",",,7,2400",,,,,,,"   89",",,7","  144",",,7",,,,,,,,
"USC00143093","2019-04-07","39.36628","-101.70033","1114.3","GOODLAND WEATHER FORECAST OFFICE, KS US",,,,,"    0",",,7,2400",,,,,,,"  100",",,7","  161",",,7",,,,,,,,
"USC00143093","2019-04-08","39.36628","-101.70033","1114.3","GOODLAND WEATHER FORECAST OFFICE, KS US",,,,,"    0",",,7,2400",,,,,,,"  100",",,7","  161",",,7",,,,,,,,
"USC00143093","2019-04-09","39.36628","-101.70033","1114.3","GOODLAND WEATHER FORECAST OFFICE, KS US",,,,,"    0",",,7,2400",,,,,,,"   94",",,7","  172",",,7",,,,,,,,
"USC00143093","2019-04-10","39.36628","-101.70033","1114.3","GOODLAND WEATHER FORECAST OFFICE, KS US",,,,,"    0",",,7,2400",,,,,,,"   94",",,7","  172",",,7",,,,,,,,
"USC00143093","2019-04-11","39.36628","-101.70033","1114.3","GOODLAND WEATHER FORECAST OFFICE, KS US",,,,,"    0",",,7,2400",,,,,,,"   61",",,7","  122",",,7",,,,,,,,
"USC00143093","2019-04-12","39.36628","-101.70033","1114.3","GOODLAND WEATHER FORECAST OFFICE, KS US",,,,,"    0",",,7,2400",,,,,,,"   28",",,7","   61",",,7",,,,,,,,
"USC00143093","2019-04-13","39.36628","-101.70033","1114.3","GOODLAND WEATHER FORECAST OFFICE, KS US",,,,,"    0",",,7,2400",,,,,,,"   28",",,7","   72",",,7",,,,,,,,
