"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00360785","2018-07-05","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US","   56",",,7,0700","    0",",,7,0700","    0",",,7,0700","  339",",,7","  217",",,7",,,,,,,,,,,"  228",",,7,0700",,,,,,,,
"USC00360785","2018-07-06","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US","  145",",,7,0700","    0",",,7,0700","    0",",,7,0700","  317",",,7","  222",",,7",,,,,,,,,,,"  233",",,7,0700",,,,,,,,
"USC00360785","2018-07-07","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US",,,,,,,"  289",",,7","  128",",,7",,,,,,,,,,,"  172",",,7,0700",,,,,,,,
"USC00360785","2018-07-08","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US",,,,,,,"  261",",,7","  139",",,7",,,,,,,,,,,,,,,,,,,,
"USC00360785","2018-07-09","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US",,,"    0",",,7,0700","    0",",,7,0700","  278",",,7","  161",",,7","    3",",,7",,,,,"   13",",,7",,,"  189",",,7,0700",,,,,,,,
"USC00360785","2018-07-10","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  294",",,7","  150",",,7",,,,,,,,,,,"  194",",,7,0700",,,,,,,,
"USC00360785","2018-07-11","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  322",",,7","  189",",,7",,,,,,,,,,,"  233",",,7,0700",,,,,,,,
"USC00360785","2018-07-12","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  300",",,7","  139",",,7",,,,,,,,,,,"  156",",,7,0700",,,,,,,,
"USC00360785","2018-07-13","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  300",",,7","  156",",,7",,,,,,,,,,,"  183",",,7,0700",,,,,,,,
"USC00360785","2018-07-14","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US",,,,,,,"  300",",,7","  183",",,7",,,,,,,,,,,,,,,,,,,,
"USC00360785","2018-07-15","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US",,,,,,,"  322",",,7","  200",",,7",,,,,,,,,,,,,,,,,,,,
"USC00360785","2018-07-16","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US",,,"    0",",,7,0700","    0",",,7,0700","  289",",,7","  211",",,7","    3",",,7",,,,,"  188",",,7",,,"  217",",,7,0700",,,,,,,,
"USC00360785","2018-07-17","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  333",",,7","  211",",,7",,,,,,,,,,,"  244",",,7,0700",,,,,,,,
"USC00360785","2018-07-18","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US","   97",",,7,0700","    0",",,7,0700","    0",",,7,0700","  289",",,7","  172",",,7",,,,,,,,,,,"  194",",,7,0700",,,,,,,,
"USC00360785","2018-07-19","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  283",",,7","  122",",,7",,,,,,,,,,,"  150",",,7,0700",,,,,,,,
"USC00360785","2018-07-20","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  133",",,7",,,,,,,,,,,"  172",",,7,0700",,,,,,,,
"USC00360785","2018-07-21","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US",,,,,,,"  228",",,7","  156",",,7",,,,,,,,,,,,,,,,,,,,
"USC00360785","2018-07-22","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US",,,,,,,"  272",",,7","  228",",,7",,,,,,,,,,,,,,,,,,,,
"USC00360785","2018-07-23","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US",,,"    0",",,7,0700","    0",",,7,0700","  250",",,7","  233",",,7","    3",",,7",,,,,"  508",",,7",,,"  239",",,7,0700",,,,,,,,
"USC00360785","2018-07-24","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US","   15",",,7,0700","    0",",,7,0700","    0",",,7,0700","  300",",,7","  211",",,7",,,,,,,,,,,"  228",",,7,0700",,,,,,,,
"USC00360785","2018-07-25","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US","  175",",,7,0700","    0",",,7,0700","    0",",,7,0700","  283",",,7","  217",",,7",,,,,,,,,,,"  217",",,7,0700",,,,,,,,
"USC00360785","2018-07-26","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  206",",,7",,,,,,,,,,,"  217",",,7,0700",,,,,,,,
"USC00360785","2018-07-27","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  300",",,7","  194",",,7",,,,,,,,,,,"  206",",,7,0700",,,,,,,,
"USC00360785","2018-07-28","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US",,,,,,,"  311",",,7","  194",",,7",,,,,,,,,,,,,,,,,,,,
"USC00360785","2018-07-29","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US",,,,,,,"  300",",,7","  189",",,7",,,,,,,,,,,,,,,,,,,,
"USC00360785","2018-07-30","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US",,,"    0",",,7,0700","    0",",,7,0700","  283",",,7","  144",",,7","    3",",,7",,,,,"    3",",,7",,,"  178",",,7,0700",,,,,,,,
"USC00360785","2018-07-31","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US","    3",",,7,0700","    0",",,7,0700","    0",",,7,0700","  261",",,7","  161",",,7",,,,,,,,,,,"  183",",,7,0700",,,,,,,,
"USC00360785","2018-08-01","40.38028","-76.02745","106.7","BLUE MARSH LAKE, PA US","   91",",,7,0700","    0",",,7,0700","    0",",,7,0700","  261",",,7","  183",",,7",,,,,,,,,,,"  222",",,7,0700",,,,,,,,
