"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES"
"ASN00031209","2018-06-14","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  272",",,a","  155",",,a",,,,,,,,,,,,
"ASN00031209","2018-06-15","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  271",",,a","  214",",,a",,,,,,,,,,,,
"ASN00031209","2018-06-16","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  276",",,a","  221",",,a",,,,,,,,,,,,
"ASN00031209","2018-06-17","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  267",",,a","  223",",,a",,,,,,,,,,,,
"ASN00031209","2018-06-18","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  258",",,a","  218",",,a",,,,,,,,,,,,
"ASN00031209","2018-06-19","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  246",",,a","  212",",,a",,,,,,,,,,,,
"ASN00031209","2018-06-20","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  244",",,a","  187",",,a",,,,,,,,,,,,
"ASN00031209","2018-06-21","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  259",",,a","  189",",,a",,,,,,,,,,,,
"ASN00031209","2018-06-22","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  270",",,a","  199",",,a",,,,,,,,,,,,
"ASN00031209","2018-06-23","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    4",",,a","  268",",,a","  208",",,a",,,,,,,,,,,,
"ASN00031209","2018-06-24","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","   34",",,a","  265",",,a","  204",",,a",,,,,,,,,,,,
"ASN00031209","2018-06-25","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","   26",",,a","  262",",,a","  209",",,a",,,,,,,,,,,,
"ASN00031209","2018-06-26","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","   34",",,a","  259",",,a","  208",",,a",,,,,,,,,,,,
"ASN00031209","2018-06-27","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","   26",",,a","  267",",,a","  210",",,a",,,,,,,,,,,,
"ASN00031209","2018-06-28","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","   16",",,a","  268",",,a","  210",",,a",,,,,,,,,,,,
"ASN00031209","2018-06-29","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","   26",",,a","  278",",,a","  222",",,a",,,,,,,,,,,,
"ASN00031209","2018-06-30","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","   96",",,a",,,"  221",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-01","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS",,,,,,,,,,,"    2",",,a",,,,,"  271",",,a"
"ASN00031209","2018-07-02","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS",,,"  265",",,a",,,"    2",",,a","    2",",,a",,,"  278",",,a","  222",",,a",,
"ASN00031209","2018-07-03","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","   18",",,a","  267",",,a","  224",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-04","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","   38",",,a","  253",",,a","  211",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-05","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","   24",",,a","  260",",,a","  212",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-06","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  268",",,a","  175",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-07","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  277",",,a","  149",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-08","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    6",",,a","  268",",,a","  208",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-09","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    2",",,a","  250",",,a","  209",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-10","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  240",",,a","  185",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-11","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  261",",,a","  160",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-12","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  266",",,a","  155",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-13","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  268",",,a","  161",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-14","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  259",",,a","  200",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-15","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  259",",,a","  210",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-16","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  277",",,a","  184",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-17","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  263",",,a","  183",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-18","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  275",",,a","  216",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-19","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","   20",",,a","  265",",,a","  216",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-20","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  269",",,a","  169",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-21","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  273",",,a","  178",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-22","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  275",",,a","  171",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-23","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  273",",,a","  193",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-24","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  278",",,a","  162",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-25","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  270",",,a","  173",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-26","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  270",",,a","  152",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-27","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  265",",,a","  142",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-28","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  264",",,a","  137",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-29","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  266",",,a","  137",",,a",,,,,,,,,,,,
"ASN00031209","2018-07-30","-15.4461","145.1861","4.8","COOKTOWN AIRPORT, AS","    0",",,a","  269",",,a","  138",",,a",,,,,,,,,,,,
