"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00117187","2018-01-06","38.0405","-88.9883","138.7","REND LAKE DAM, IL US","    0",",,7,0700",,,,,"  -72",",,7"," -167",",,7",,,,,,,,," -167",",,7,0700",,,,,,,,,,,,
"USC00117187","2018-01-07","38.0405","-88.9883","138.7","REND LAKE DAM, IL US","    0",",,7,0700",,,,,"  -67",",,7"," -172",",,7",,,,,,,,,"  -67",",,7,0700",,,,,,,,,,,,
"USC00117187","2018-01-08","38.0405","-88.9883","138.7","REND LAKE DAM, IL US","   91",",,7,0700",,,,,"   50",",,7","  -67",",,7",,,,,,,,,"   28",",,7,0700",,,,,,,,,,,,
"USC00117187","2018-01-09","38.0405","-88.9883","138.7","REND LAKE DAM, IL US","    5",",,7,0700",,,,,"   44",",,7","   -6",",,7",,,,,,,,,"    0",",,7,0700",,,,,,,,,,,,
"USC00117187","2018-01-10","38.0405","-88.9883","138.7","REND LAKE DAM, IL US","    5",",,7,0700",,,,,"   94",",,7","    0",",,7",,,,,,,,,"   94",",,7,0700",,,,,,,,,,,,
"USC00117187","2018-01-11","38.0405","-88.9883","138.7","REND LAKE DAM, IL US","   13",",,7,0700",,,,,"  156",",,7","   94",",,7",,,,,,,,,"  156",",,7,0700",,,,,,,,,,,,
"USC00117187","2018-01-12","38.0405","-88.9883","138.7","REND LAKE DAM, IL US","  165",",,7,0700",,,,,"  172",",,7"," -100",",,7",,,,,,,,,"  -94",",,7,0700",,,,,,,,,,,,
"USC00117187","2018-01-13","38.0405","-88.9883","138.7","REND LAKE DAM, IL US","    0",",,7,0700",,,,,"  -61",",,7"," -100",",,7",,,,,,,,,"  -94",",,7,0700",,,,,,,,,,,,
"USC00117187","2018-01-14","38.0405","-88.9883","138.7","REND LAKE DAM, IL US","    0",",,7,0700",,,,,"  -50",",,7"," -117",",,7",,,,,,,,," -117",",,7,0700",,,,,,,,,,,,
"USC00117187","2018-01-15","38.0405","-88.9883","138.7","REND LAKE DAM, IL US","    0",",,7,0700",,,,,"  -33",",,7"," -122",",,7",,,,,,,,,"  -44",",,7,0700",,,,,,,,,,,,
