"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00053901","2018-07-06","36.87806","-91.9025","372.8","WEST PLAINS MUNICIPAL AIRPORT, MO US","    0","T,,W",,,,,"  339",",,W","  222",",,W","   33",",,W",,,,,,,,,,,"   40",",,W","   30",",,W","   81",",,W","  107",",,W",,,,,"    1",",,W",,,,
"USW00053901","2018-07-07","36.87806","-91.9025","372.8","WEST PLAINS MUNICIPAL AIRPORT, MO US","    0",",,W",,,,,"  306",",,W","  167",",,W","   33",",,W",,,,,,,,,,,"   30",",,W","   30",",,W","   67",",,W","   94",",,W",,,,,,,,,,
"USW00053901","2018-07-08","36.87806","-91.9025","372.8","WEST PLAINS MUNICIPAL AIRPORT, MO US","    3",",,W",,,,,"  317",",,W","  172",",,W","   26",",,W",,,,,,,,,,,"  110",",,W","  120",",,W","   72",",,W","  107",",,W",,,,,"    1",",,W",,,,
"USW00053901","2018-07-09","36.87806","-91.9025","372.8","WEST PLAINS MUNICIPAL AIRPORT, MO US","    0","T,,W",,,,,"  333",",,W","  194",",,W","    9",",,W",,,,,,,,,,,"  100",",,W","   70",",,W","   72",",,W","  103",",,W","    1",",,W","    1",",,W",,,,,,
"USW00053901","2018-07-10","36.87806","-91.9025","372.8","WEST PLAINS MUNICIPAL AIRPORT, MO US","    0",",,W",,,,,"  356",",,W","  206",",,W","   11",",,W",,,,,,,,,,,"  170",",,W","  340",",,W","   45",",,W","   67",",,W",,,,,,,,,,
"USW00053901","2018-07-11","36.87806","-91.9025","372.8","WEST PLAINS MUNICIPAL AIRPORT, MO US","    0",",,W",,,,,"  367",",,W","  211",",,W","   14",",,W",,,,,,,,,,,"   60",",,W","   50",",,W","   45",",,W","   85",",,W",,,,,,,,,,
"USW00053901","2018-07-12","36.87806","-91.9025","372.8","WEST PLAINS MUNICIPAL AIRPORT, MO US","    0",",,W",,,,,"  361",",,W","  222",",,W","   20",",,W",,,,,,,,,,,"  100",",,W","  110",",,W","   58",",,W","   76",",,W",,,,,,,,,,
"USW00053901","2018-07-13","36.87806","-91.9025","372.8","WEST PLAINS MUNICIPAL AIRPORT, MO US","    0",",,W",,,,,"  367",",,W","  206",",,W","   21",",,W",,,,,,,,,,,"  160",",,W","  150",",,W","   58",",,W","   72",",,W",,,,,,,,,,
"USW00053901","2018-07-14","36.87806","-91.9025","372.8","WEST PLAINS MUNICIPAL AIRPORT, MO US","  325",",,W",,,,,"  367",",,W","  222",",,W","   25",",,W",,,,,,,,,,,"  220",",,W","  230",",,W","  134",",,W","  183",",,W","    1",",,W",,,"    1",",,W",,,"    1",",,W"
"USW00053901","2018-07-15","36.87806","-91.9025","372.8","WEST PLAINS MUNICIPAL AIRPORT, MO US","   86",",,W",,,,,"  328",",,W","  222",",,W","   17",",,W",,,,,,,,,,,"  260",",,W","  270",",,W","   98",",,W","  134",",,W","    1",",,W",,,"    1",",,W",,,,
