"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"GMW00035032","2018-07-06","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  290",",,E","  159",",,E","  229","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-07","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  288",",,E","  149",",,E","  221","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-08","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  289",",,E","  142",",,E","  210","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-09","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  280",",,E","  154",",,E","  223","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-10","50.03333","8.58333","112.2","RHEIN MAIN, GM","    6",",,E",,,"    0",",,E","  224",",,E","  141",",,E","  186","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-11","50.03333","8.58333","112.2","RHEIN MAIN, GM","    7",",,E",,,"    0",",,E","  221",",,E","  117",",,E","  163","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-12","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  267",",,E","  127",",,E","  199","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-13","50.03333","8.58333","112.2","RHEIN MAIN, GM","    2",",,E",,,"    0",",,E","  284",",,E","  142",",,E","  222","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-14","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  304",",,E","  184",",,E","  247","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-15","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  308",",,E","  181",",,E","  234","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-16","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  306",",,E","  167",",,E","  231","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-17","50.03333","8.58333","112.2","RHEIN MAIN, GM","    1",",,E",,,"    0",",,E","  311",",,E","  135",",,E","  232","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-18","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  289",",,E","  159",",,E","  238","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-19","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  294",",,E","  180",",,E","  237","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-20","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  318",",,E","  170",",,E","  251","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-21","50.03333","8.58333","112.2","RHEIN MAIN, GM","   15",",,E",,,"    0",",,E","  242",",,E","  168",",,E","  204","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-22","50.03333","8.58333","112.2","RHEIN MAIN, GM","   90",",,E",,,"    0",",,E","  276",",,E","  145",",,E","  196","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-23","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  309",",,E","  149",",,E","  230","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-24","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  340",",,E","  156",",,E","  257","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-25","50.03333","8.58333","112.2","RHEIN MAIN, GM","   21",",,E",,,"    0",",,E","  361",",,E","  187",",,E","  266","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-26","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  361",",,E","  207",",,E","  289","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-27","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  348",",,E","  223",",,E","  289","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-28","50.03333","8.58333","112.2","RHEIN MAIN, GM","   29",",,E",,,"    0",",,E","  325",",,E","  175",",,E","  249","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-29","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  314",",,E","  155",",,E","  237","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-30","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  354",",,E","  157",",,E","  263","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-07-31","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  370",",,E","  179",",,E","  282","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-08-01","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  317",",,E","  198",",,E","  254","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-08-02","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  342",",,E","  170",",,E","  264","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-08-03","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  363",",,E","  232",",,E","  296","H,,S",,,,,,,,,,,,,,,,,,
"GMW00035032","2018-08-04","50.03333","8.58333","112.2","RHEIN MAIN, GM","    0",",,E",,,"    0",",,E","  368",",,E","  210",",,E","  301","H,,S",,,,,,,,,,,,,,,,,,
