"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00058501","2018-06-15","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  256",",,7","   33",",,7",,,,,,,,,"   74",",,7,0730",,,,,,,,,,,,,"   94",",,7,0730",,,,,,,,
"USC00058501","2018-06-16","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    3",",,7,0730","    0",",,7,0730","    0",",,7,0730","  250",",,7","   72",",,7",,,,,,,,,"   81",",,7,0730",,,,,,,,,,,,,"  128",",,7,0730",,,,,,,,
"USC00058501","2018-06-17","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  189",",,7","   94",",,7",,,,,,,,,"   36",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00058501","2018-06-18","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","   36",",,7,0730","    0",",,7,0730","    0",",,7,0730","  167",",,7","   94",",,7",,,,,,,,,,,,,,,,,,,,,,,"  100",",,7,0730",,,,,,,,
"USC00058501","2018-06-19","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  239",",,7","    6",",,7",,,,,,,,,"   81",",,7,0730",,,,,,,,,,,,,"   44",",,7,0730",,,,,,,,
"USC00058501","2018-06-20","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  239",",,7","   11",",,7",,,,,,,,,"   76",",,7,0730",,,,,,,,,,,,,"   22",",,7,0730",,,,,,,,
"USC00058501","2018-06-21","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  250",",,7","   11",",,7",,,,,,,,,"   71",",,7,0730",,,,,,,,,,,,,"   17",",,7,0730",,,,,,,,
"USC00058501","2018-06-22","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  272",",,7","   17",",,7",,,,,,,,,"  122",",,7,0730",,,,,,,,,,,,,"   56",",,7,0730",,,,,,,,
"USC00058501","2018-06-23","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  211",",,7","   56",",,7",,,,,,,,,"   71",",,7,0730",,,,,,,,,,,,,"   72",",,7,0730",,,,,,,,
"USC00058501","2018-06-24","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  228",",,7","   72",",,7",,,,,,,,,"   71",",,7,0730",,,,,,,,,,,,,"  100",",,7,0730",,,,,,,,
"USC00058501","2018-06-25","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  156",",,7","    6",",,7",,,,,,,,,"   76",",,7,0730",,,,,,,,,,,,,"    6",",,7,0730",,,,,,,,
"USC00058501","2018-06-26","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  244",",,7","    6",",,7",,,,,,,,,"   84",",,7,0730",,,,,,,,,,,,,"   11",",,7,0730",,,,,,,,
"USC00058501","2018-06-27","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  294",",,7","   11",",,7",,,,,,,,,"   74",",,7,0730",,,,,,,,,,,,,"   44",",,7,0730",,,,,,,,
"USC00058501","2018-06-28","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  294",",,7","   28",",,7",,,,,,,,,"   58",",,7,0730",,,,,,,,,,,,,"   94",",,7,0730",,,,,,,,
"USC00058501","2018-06-29","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  294",",,7","   17",",,7",,,,,,,,,"  102",",,7,0730",,,,,,,,,,,,,"   83",",,7,0730",,,,,,,,
"USC00058501","2018-06-30","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  244",",,7","   39",",,7",,,,,,,,,"  104",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00058501","2018-07-01","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  222",",,7","   33",",,7",,,,,,,,,"  104",",,7,0730",,,,,,,,,,,,,,,,,,,,,,
"USC00058501","2018-07-02","39.09419","-106.35064","2815.1","TWIN LAKES RESERVOIR, CO US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  239",",,7","   28",",,7",,,,,,,,,"  104",",,7,0730",,,,,,,,,,,,,"   61",",,7,0730",,,,,,,,
