"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"RQC00665908","2018-06-03","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  272",",,7","  183",",,7",,,,,"  239",",,7",,,,,,,,
"RQC00665908","2018-06-04","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  239",",,7","  189",",,7",,,,,"  217",",,7",,,,,,,,
"RQC00665908","2018-06-05","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  272",",,7","  189",",,7",,,,,"  206",",,7",,,,,,,,
"RQC00665908","2018-06-06","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  272",",,7","  183",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-06-07","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  261",",,7","  194",",,7",,,,,"  228",",,7",,,,,,,,
"RQC00665908","2018-06-08","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  278",",,7","  200",",,7",,,,,"  222",",,7",,,,,,,,
"RQC00665908","2018-06-09","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  267",",,7","  189",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-06-10","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  261",",,7","  189",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-06-11","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  283",",,7","  183",",,7",,,,,,,,,,,,,,
"RQC00665908","2018-06-12","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US",,,,,,,"  278",",,7","  183",",,7","    4",",,7","  213",",,7","  217",",,7",,,,,,,,
"RQC00665908","2018-06-13","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  272",",,7","  194",",,7",,,,,"  228",",,7",,,,,,,,
"RQC00665908","2018-06-14","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","    0",",,7",,,,,"  289",",,7","  200",",,7",,,,,"  206",",,7",,,,,,,,
"RQC00665908","2018-06-15","18.1511","-66.9888","863.2","MARICAO 2 SSW, PR US","   15",",,7",,,,,"  272",",,7","  183",",,7",,,,,"  211",",,7",,,,,,,,
