"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00085895","2018-06-30","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","   51",",,7,0600",,,,,"  317",",,7","  244",",,7",,,,,,,"   41",",,7,0600",,,,,,,"  239",",,7","  311",",,7","  250",",,7,0600","   37",",,7",,,,,,,,,,
"USC00085895","2018-07-01","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","    0",",,7,0600",,,,,"  328",",,7","  244",",,7",,,,,,,"   64",",,7,0600",,,,,,,"  233",",,7","  317",",,7","  244",",,7,0600","   47",",,7",,,,,,,,,,
"USC00085895","2018-07-02","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","    0",",,7,0600",,,,,"  344",",,7","  239",",,7",,,,,,,"   66",",,7,0600",,,,,,,"  239",",,7","  322",",,7","  244",",,7,0600","   69",",,7",,,,,,,,,,
"USC00085895","2018-07-03","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","   13",",,7,0600",,,,,"  356",",,7","  244",",,7",,,,,,,"   51",",,7,0600",,,,,,,"  250",",,7","  344",",,7","  256",",,7,0600","   95",",,7",,,,,,,,,,
"USC00085895","2018-07-04","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","    0",",,7,0600",,,,,"  356",",,7","  239",",,7",,,,,,,"   71",",,7,0600",,,,,,,"  233",",,7","  350",",,7","  239",",,7,0600","  109",",,7",,,,,,,,,,
"USC00085895","2018-07-05","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","  102",",,7,0600",,,,,"  333",",,7","  222",",,7",,,,,,,"    0",",,7,0600",,,,,,,"  222",",,7","  328",",,7","  250",",,7,0600","   69",",,7",,,,,,,,,,
"USC00085895","2018-07-06","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","  140",",,7,0600",,,,,"  339",",,7","  239",",,7",,,,,,,"   33",",,7,0600",,,,,,,"  228",",,7","  322",",,7","  239",",,7,0600","  135",",,7",,,,,,,,,,
"USC00085895","2018-07-07","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","    0",",,7,0600",,,,,"  344",",,7","  233",",,7",,,,,,,"   61",",,7,0600",,,,,,,"  222",",,7","  328",",,7","  233",",,7,0600","   85",",,7",,,,,,,,,,
"USC00085895","2018-07-08","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","   64",",,7,0600",,,,,"  328",",,7","  228",",,7",,,,,,,"   28",",,7,0600",,,,,,,"  222",",,7","  322",",,7","  233",",,7,0600","   55",",,7",,,,,,,,,,
"USC00085895","2018-07-09","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","    0",",,7,0600",,,,,"  344",",,7","  233",",,7",,,,,,,"   66",",,7,0600",,,,,,,"  228",",,7","  328",",,7","  250",",,7,0600","   89",",,7",,,,,,,,,,
