"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00221389","2018-04-23","32.6713","-90.0361","76.2","CANTON 4 N, MS US","  165",",,7,0700","    0",",,7","    0",",,7","  194",",,7","  111",",,7",,,,,"  122",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00221389","2018-04-24","32.6713","-90.0361","76.2","CANTON 4 N, MS US","    5",",,7,0700","    0",",,7","    0",",,7","  178",",,7","  122",",,7",,,,,"  139",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00221389","2018-04-25","32.6713","-90.0361","76.2","CANTON 4 N, MS US","    0",",,7,0700","    0",",,7","    0",",,7","  206",",,7","   94",",,7",,,,,"   94",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00221389","2018-04-26","32.6713","-90.0361","76.2","CANTON 4 N, MS US","  218",",,7,0700","    0",",,7","    0",",,7","  250",",,7","   94",",,7",,,,,"  133",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00221389","2018-04-27","32.6713","-90.0361","76.2","CANTON 4 N, MS US","    0","T,,7,0700","    0",",,7","    0",",,7","  178",",,7","   89",",,7",,,,,"  100",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00221389","2018-04-28","32.6713","-90.0361","76.2","CANTON 4 N, MS US","    0",",,7,0700","    0",",,7","    0",",,7","  233",",,7","   94",",,7",,,,,"   94",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00221389","2018-04-29","32.6713","-90.0361","76.2","CANTON 4 N, MS US","    0",",,7,0700","    0",",,7","    0",",,7","  272",",,7","   94",",,7",,,,,"   94",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00221389","2018-04-30","32.6713","-90.0361","76.2","CANTON 4 N, MS US","    0",",,7,0700","    0",",,7","    0",",,7","  256",",,7","   83",",,7",,,,,"   83",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00221389","2018-05-01","32.6713","-90.0361","76.2","CANTON 4 N, MS US","    0",",,7,0700","    0",",,7","    0",",,7","  267",",,7","   83",",,7",,,,,"  106",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00221389","2018-05-02","32.6713","-90.0361","76.2","CANTON 4 N, MS US","    0",",,7,0700","    0",",,7","    0",",,7","  278",",,7","  106",",,7",,,,,"  172",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
