"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN12","SN12_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX02","SX02_ATTRIBUTES","SX12","SX12_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00128723","2017-08-15","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US",,,"    0",",,7,0800","    0",",,7,0800","  311",",,7","  200",",,7",,,"    2",",,7",,,,,,,"    0",",,7",,,,,,,,,"  228",",,7,0800",,,,,,,"  289",",,7","  261",",,7",,,,,"  300",",,7","  272",",,7",,,,,,,,,,,,,,
"USC00128723","2017-08-17","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US",,,"    0",",,7,0800","    0",",,7,0800","  333",",,7","  228",",,7",,,"    2",",,7",,,,,,,"    0",",,7",,,,,,,,,"  250",",,7,0800",,,,,,,"  306",",,7","  267",",,7",,,,,"  317",",,7","  300",",,7",,,,,,,,,,,,,,
"USC00128723","2017-08-18","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  172",",,7",,,,,,,,,,,,,,,,,,,,,"  200",",,7,0800",,,,,,,"  322",",I,7","  261",",,7",,,,,"  339",",,7","  272",",,7",,,,,,,,,,,,,,
"USC00128723","2017-08-19","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","   10",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  200",",,7",,,,,,,,,,,,,,,,,,,,,"  233",",,7,0800",,,,,,,"  300",",,7","  267",",,7",,,,,"  311",",I,7","  278",",,7",,,,,,,,,,,,,,
"USC00128723","2017-08-20","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","   78",",,7",,,,,,,,,,,,,,,,,,,,,"  294",",,7,0800",,,,,,,"  306",",,7","  272",",,7",,,,,"  317",",,7","  278",",,7",,,,,,,,,,,,,,
"USC00128723","2017-08-21","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  272",",,7",,,,,,,,,,,,,,,,,,,,,"  311",",,7,0800",,,,,,,"  261",",,7","  261",",,7",,,,,"  311",",,7","  283",",,7",,,,,,,,,,,,,,
"USC00128723","2017-08-22","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","   86",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  217",",,7",,,,,,,,,,,,,,,,,,,,,"  239",",,7,0800",,,,,,,"  289",",,7","  272",",,7",,,,,"  322",",,7","  283",",,7",,,,,,,,,,,,,,
"USC00128723","2017-08-23","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  239",",,7","  150",",,7",,,,,,,,,,,,,,,,,,,,,"  206",",,7,0800",,,,,,,"  211",",,7","  239",",,7",,,,,"  294",",,7","  278",",,7",,,,,,,,,,,,,,
"USC00128723","2017-08-24","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800",,,"  183",",,7",,,,,,,,,,,,,,,,,,,,,"  200",",,7,0800",,,,,,,"  272",",,7","  267",",,7",,,,,"  283",",I,7","  278",",,7",,,,,,,,,,,,,,
"USC00128723","2017-08-25","39.4708","-87.408","154.5","TERRE HAUTE INDIANA STATE, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  106",",,7",,,,,,,,,,,,,,,,,,,,,"  117",",,7,0800",,,,,,,"  306",",I,7","  267",",I,7",,,,,"  322",",,7","  278",",,7",,,,,,,,,,,,,,
