"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00053258","2018-04-24","39.2771","-103.4945","1704.7","GENOA, CO US","   25",",,7,0800","   15",",,7,","   25",",,7,","  189",",,7","  -11",",,7",,,,,,,,,"  -11",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00053258","2018-04-25","39.2771","-103.4945","1704.7","GENOA, CO US","    3",",,7,0800","    0","T,,7,","    0","T,,7,","   22",",,7","  -28",",,7",,,,,,,,,"   17",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00053258","2018-04-26","39.2771","-103.4945","1704.7","GENOA, CO US","    0",",,7,0800","    0",",,7,","    0",",,7,","  161",",,7","   17",",,7",,,,,,,,,"   67",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00053258","2018-04-27","39.2771","-103.4945","1704.7","GENOA, CO US","    0",",,7,0800","    0",",,7,","    0",",,7,","  128",",,7","   39",",,7",,,,,,,,,"   94",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00053258","2018-04-28","39.2771","-103.4945","1704.7","GENOA, CO US","    0",",,7,0800","    0",",,7,","    0",",,7,","  228",",,7","   44",",,7",,,,,,,,,"  161",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00053258","2018-04-29","39.2771","-103.4945","1704.7","GENOA, CO US","    0",",,7,0800","    0",",,7,","    0",",,7,","  211",",,7","   56",",,7",,,,,,,,,"  111",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00053258","2018-04-30","39.2771","-103.4945","1704.7","GENOA, CO US","    0",",,7,0800","    0",",,7,","    0",",,7,","  267",",,7","   61",",,7",,,,,,,,,"  122",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00053258","2018-05-01","39.2771","-103.4945","1704.7","GENOA, CO US","    0",",,7,0800","    0",",,7,","    0",",,7,","  250",",,7","   56",",,7",,,,,,,,,"   78",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00053258","2018-05-02","39.2771","-103.4945","1704.7","GENOA, CO US","    0",",,7,0800","    0",",,7,","    0",",,7,","  206",",,7","   56",",,7",,,,,,,,,"   78",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00053258","2018-05-03","39.2771","-103.4945","1704.7","GENOA, CO US","  356",",,7,0800","    0",",,7,","    0",",,7,","  161",",,7","   44",",,7",,,,,,,,,"   56",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00053258","2018-05-04","39.2771","-103.4945","1704.7","GENOA, CO US","   13",",,7,0800","    0",",,7,","    0",",,7,","  106",",,7","   50",",,7",,,,,,,,,"  106",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00053258","2018-05-05","39.2771","-103.4945","1704.7","GENOA, CO US","    0",",,7,0800","    0",",,7,","    0",",,7,","  194",",,7","   94",",,7",,,,,,,,,"  189",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
