"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00243176","2018-06-08","48.01205","-106.41174","631.2","FORT PECK POWER PLANT, MT US","    0",",,7,1800","    0",",,7","    0",",,7","  322",",,7","  133",",,7",,,,,,,,,,,,,,,,,,,,,,,"  261",",,7,1800",,,,,,
"USC00243176","2018-06-09","48.01205","-106.41174","631.2","FORT PECK POWER PLANT, MT US","    0",",,7,1800","    0",",,7","    0",",,7","  322",",,7","  128",",,7",,,,,,,,,,,,,,,,,,,,,,,"  294",",,7,1800",,,,,,
"USC00243176","2018-06-10","48.01205","-106.41174","631.2","FORT PECK POWER PLANT, MT US","    0",",,7,1800","    0",",,7","    0",",,7","  306",",,7","  156",",,7",,,,,,,,,,,,,,,,,,,,,,,"  194",",,7,1800",,,,,,
"USC00243176","2018-06-11","48.01205","-106.41174","631.2","FORT PECK POWER PLANT, MT US","    0",",,7,1800","    0",",,7","    0",",,7","  239",",,7","  100",",,7",,,,,,,,,,,,,,,,,,,,,,,"  222",",,7,1800",,,,,,
"USC00243176","2018-06-12","48.01205","-106.41174","631.2","FORT PECK POWER PLANT, MT US","    0",",,7,1800","    0",",,7","    0",",,7","  222",",,7","  106",",,7",,,,,,,,,,,,,,,,,,,,,,,"  211",",,7,1800",,,,,,
"USC00243176","2018-06-13","48.01205","-106.41174","631.2","FORT PECK POWER PLANT, MT US","    0",",,7,1800","    0",",,7","    0",",,7","  306",",,7","  139",",,7",,,,,,,,,,,,,,,,,,,,,,,"  294",",,7,1800",,,,,,
"USC00243176","2018-06-14","48.01205","-106.41174","631.2","FORT PECK POWER PLANT, MT US","    0",",,7,1800","    0",",,7","    0",",,7","  306",",,7","  183",",,7",,,,,,,,,,,,,,,,,,,,,,,"  211",",,7,1800",,,,,,
"USC00243176","2018-06-15","48.01205","-106.41174","631.2","FORT PECK POWER PLANT, MT US","    0",",,7,1800","    0",",,7","    0",",,7","  228",",,7","  100",",,7",,,,,,,,,,,,,,,,,,,,,,,"  206",",,7,1800",,,,,,
"USC00243176","2018-06-16","48.01205","-106.41174","631.2","FORT PECK POWER PLANT, MT US","  107",",,7,1800","    0",",,7","    0",",,7","  211",",,7","  106",",,7",,,,,,,,,,,,,,,,,,,,,,,"  150",",,7,1800",,,,,,
"USC00243176","2018-06-17","48.01205","-106.41174","631.2","FORT PECK POWER PLANT, MT US","    5",",,7,1800","    0",",,7","    0",",,7","  233",",,7","   94",",,7",,,,,,,,,,,,,,,,,,,,,,,"  233",",,7,1800",,,,,,
