"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00014940","2018-07-06","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  267",",,W","  139",",,W",,,,,"   27",",,W",,,,,,,,,,,,,,,"  130",",,W","  100",",,W",,,,,"   72",",,W","   94",",,W",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014940","2018-07-07","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  267",",,W","  150",",,W",,,,,"   45",",,W",,,,,,,,,,,,,,,"  150",",,W","  160",",,W",,,,,"   76",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014940","2018-07-08","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  294",",,W","  150",",,W",,,,,"   46",",,W",,,,,,,,,,,,,,,"  170",",,W","  170",",,W",,,,,"   89",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014940","2018-07-09","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  317",",,W","  161",",,W",,,,,"   34",",,W",,,,,,,,,,,,,,,"  240",",,W","  220",",,W",,,,,"   81",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014940","2018-07-10","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","    0","T,,W,2400","    0",",,W","    0",",,W","  294",",,W","  172",",,W",,,,,"   28",",,W",,,,,,,,,,,,,,,"  150",",,W","  150",",,W",,,,,"   67",",,W","   85",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014940","2018-07-11","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  317",",,W","  189",",,W",,,,,"   51",",,W",,,,,,,,,,,,,,,"  170",",,W","  170",",,W",,,,,"   94",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014940","2018-07-12","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  344",",,W","  211",",,W",,,,,"   45",",,W",,,,,,,,,,,,,,,"  200",",,W","  200",",,W",,,,,"   81",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014940","2018-07-13","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","  231",",,W,2400","    0",",,W","    0",",,W","  289",",,W","  211",",,W",,,,,"   32",",,W",,,,,,,,,,,,,,,"  330",",,W","  320",",,W",,,,,"   98",",,W","  139",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014940","2018-07-14","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","    0","T,,W,2400","    0",",,W","    0",",,W","  278",",,W","  206",",,W",,,,,"   22",",,W",,,,,,,,,,,,,,,"  100",",,W","  100",",,W",,,,,"   58",",,W","   72",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014940","2018-07-15","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","    0",",,W,2400","    0",",,W","    0",",,W","  306",",,W","  189",",,W",,,,,"   18",",,W",,,,,,,,,,,,,,,"  330",",,W","  320",",,W",,,,,"   45",",,W","   58",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
