"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX02","SX02_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00150397","2018-06-27","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","   97",",,7,1800",,,,,"  261",",,7","  206",",,7",,,,,,,,,"  256",",,7,1800",,,"  239",",,7",,,"  250",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-06-28","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    8",",,7,1800",,,,,"  311",",,7","  211",",,7",,,,,,,,,"  300",",,7,1800",,,"  244",",,7",,,"  278",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-06-29","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  317",",,7","  222",",,7",,,,,,,,,"  306",",,7,1800",,,"  267",",,7",,,"  300",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-06-30","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  328",",,7","  217",",,7",,,,,,,,,"  317",",,7,1800",,,"  278",",,7",,,"  311",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-01","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0","T,,7,1800",,,,,"  317",",,7","  228",",,7",,,,,,,,,"  306",",,7,1800",,,"  289",",,7",,,"  317",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-02","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0","T,,7,1800",,,,,"  317",",,7","  222",",,7",,,,,,,,,"  250",",,7,1800",,,"  289",",,7",,,"  311",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-03","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","  241",",,7,1800",,,,,"  300",",,7","  217",",,7",,,,,,,,,"  272",",,7,1800",,,"  294",",,7",,,"  322",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-04","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  356",",,7","  222",",,7",,,,,,,,,"  339",",,7,1800",,,"  283",",,7",,,"  328",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-05","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","  114",",,7,1800",,,,,"  356",",,7","  233",",,7",,,,,,,,,"  233",",,7,1800",,,"  311",",,7",,,"  339",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-06","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","   51",",,7,1800",,,,,"  300",",,7","  222",",,7",,,,,,,,,"  239",",,7,1800",,,"  300",",,7",,,"  339",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-07","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  300",",,7","  156",",,7",,,,,,,,,"  267",",,7,1800",,,"  267",",,7",,,"  317",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-08","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  306",",,7","  183",",,7",,,,,,,,,"  289",",,7,1800",,,"  278",",,7",,,"  328",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-09","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  311",",,7","  194",",,7",,,,,,,,,"  294",",,7,1800",,,"  289",",,7",,,"  328",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-10","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  328",",,7","  206",",,7",,,,,,,,,"  311",",,7,1800",,,"  294",",,7",,,"  328",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-11","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","   56",",,7,1800",,,,,"  328",",,7","  217",",,7",,,,,,,,,"  294",",,7,1800",,,"  300",",,7",,,"  344",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-12","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  294",",,7","  172",",,7",,,,,,,,,"  283",",,7,1800",,,"  283",",,7",,,"  339",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-13","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  317",",,7","  167",",,7",,,,,,,,,"  267",",,7,1800",,,"  300",",,7",,,"  339",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-14","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  317",",,7","  194",",,7",,,,,,,,,"  306",",,7,1800",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-15","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0","T,,7,1800",,,,,"  311",",,7","  217",",,7",,,,,,,,,"  233",",,7,1800",,,"  300",",,7",,,"  333",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-16","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","   25",",,7,1800",,,,,"  289",",,7","  211",",,7",,,,,,,,,"  289",",,7,1800",,,"  283",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-17","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  311",",,7","  183",",,7",,,,,,,,,"  283",",,7,1800",,,"  278",",,7",,,"  322",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-18","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  300",",,7",,,,,,,,,,,"  294",",,7,1800",,,"  278",",,7",,,"  328",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-19","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  300",",,7","  172",",,7",,,,,,,,,"  294",",,7,1800",,,"  278",",,7",,,"  328",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-20","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","   38",",,7,1800",,,,,"  306",",,7","  206",",,7",,,,,,,,,"  228",",,7,1800",,,"  283",",,7",,,"  322",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-21","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","  236",",,7,1800",,,,,"  272",",,7","  161",",,7",,,,,,,,,"  222",",,7,1800",,,"  244",",,7",,,"  289",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-22","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","  165",",,7,1800",,,,,"  250",",,7","  200",",,7",,,,,,,,,"  228",",,7,1800",,,"  256",",,7",,,"  272",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-23","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    3",",,7,1800",,,,,"  261",",,7","  172",",,7",,,,,,,,,"  256",",,7,1800",,,"  244",",,7",,,"  272",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-24","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  283",",,7","  161",",,7",,,,,,,,,"  272",",,7,1800",,,"  250",",,7",,,"  289",",,7",,,,,,,,,,,,,,,,,,
"USC00150397","2018-07-25","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  306",",,7","  183",",,7",,,,,,,,,"  267",",,7,1800",,,"  261",",,7",,,"  306",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00150397","2018-07-26","37.8194","-85.3847","237.7","BARDSTOWN 5 E, KY US","    0",",,7,1800",,,,,"  300",",,7","  150",",,7",,,,,,,,,"  289",",,7,1800",,,"  272",",,7",,,"  311",",,7",,,,,,,,,,,,,,,,,,
