"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SX32","SX32_ATTRIBUTES"
"USC00343820","2018-06-19","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  311",",,7","  217",",,7",,,,,,,,,"  278",",,7","  344",",,7"
"USC00343820","2018-06-20","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  311",",,7","  206",",,7",,,,,,,,,"  272",",,7","  350",",,7"
"USC00343820","2018-06-21","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  333",",,7","  194",",,7",,,,,,,,,"  267",",,7","  350",",,7"
"USC00343820","2018-06-22","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","  137",",,7,2400",,,,,"  294",",,7","  178",",,7",,,,,,,,,"  267",",,7","  322",",,7"
"USC00343820","2018-06-23","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","   48",",,7,2400",,,,,"  311",",,7","  189",",,7",,,,,,,,,"  239",",,7","  317",",,7"
"USC00343820","2018-06-24","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","  284",",,7,2400",,,,,"  244",",,7","  183",",,7",,,,,,,,,"  222",",,7","  272",",,7"
"USC00343820","2018-06-25","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","  340",",,7,2400",,,,,"  294",",,7","  178",",,7",,,,,,,,,"  211",",,7","  289",",,7"
"USC00343820","2018-06-26","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  339",",,7","  222",",,7",,,,,,,,,"  239",",,7","  306",",,7"
"USC00343820","2018-06-27","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  356",",,7","  261",",,7",,,,,,,,,"  244",",,7","  317",",,7"
"USC00343820","2018-06-28","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  356",",,7","  261",",,7",,,,,,,,,"  250",",,7","  361",",,7"
"USC00343820","2018-06-29","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  333",",,7","  256",",,7",,,,,,,,,"  272",",,7","  361",",,7"
"USC00343820","2018-06-30","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","  122",",,7,2400",,,,,"  333",",,7","  206",",,7",,,,,,,,,"  267",",,7","  361",",,7"
"USC00343820","2018-07-01","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","  180",",,7,2400",,,,,"  306",",,7","  211",",,7",,,,,,,,,"  244",",,7","  311",",,7"
"USC00343820","2018-07-02","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  333",",,7","  233",",,7",,,,,,,,,"  256",",,7","  328",",,7"
"USC00343820","2018-07-03","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  344",",,7","  239",",,7",,,,,,,,,"  250",",,7","  322",",,7"
"USC00343820","2018-07-04","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  322",",,7","  222",",,7",,,,,,,,,"  250",",,7","  361",",,7"
"USC00343820","2018-07-05","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  333",",,7","  228",",,7",,,,,,,,,"  267",",,7","  372",",,7"
"USC00343820","2018-07-06","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  339",",,7","  228",",,7",,,,,,,,,"  283",",,7","  378",",,7"
"USC00343820","2018-07-07","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  328",",,7","  211",",,7",,,,,,,,,"  283",",,7","  372",",,7"
"USC00343820","2018-07-08","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  317",",,7","  206",",,7",,,,,,,,,"  278",",,7","  372",",,7"
"USC00343820","2018-07-09","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  328",",,7","  206",",,7",,,,,,,,,"  278",",,7","  378",",,7"
"USC00343820","2018-07-10","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  339",",,7","  217",",,7",,,,,,,,,"  289",",,7","  383",",,7"
"USC00343820","2018-07-11","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  344",",,7","  217",",,7",,,,,,,,,"  294",",,7","  383",",,7"
"USC00343820","2018-07-12","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  356",",,7","  239",",,7",,,,,,,,,"  300",",,7","  383",",,7"
"USC00343820","2018-07-13","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  344",",,7","  211",",,7",,,,,,,,,"  294",",,7","  378",",,7"
"USC00343820","2018-07-14","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  306",",,7","  244",",,7",,,,,,,,,"  300",",,7","  333",",,7"
"USC00343820","2018-07-15","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  350",",,7","  239",",,7",,,,,,,,,"  289",",,7","  361",",,7"
"USC00343820","2018-07-16","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  356",",,7","  228",",,7",,,,,,,,,"  294",",,7","  378",",,7"
"USC00343820","2018-07-17","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","   58",",,7,2400",,,,,"  350",",,7","  244",",,7",,,,,,,,,"  289",",,7","  356",",,7"
"USC00343820","2018-07-18","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  328",",,7","  233",",,7",,,,,,,,,"  278",",,7","  333",",,7"
"USC00343820","2018-07-19","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  394",",,7","  233",",,7",,,,,,,,,"  272",",,7","  383",",,7"
"USC00343820","2018-07-20","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  439",",,7","  256",",,7",,,,,,,,,"  294",",,7","  389",",,7"
"USC00343820","2018-07-21","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  372",",,7","  261",",,7",,,,,,,,,"  306",",,7","  383",",,7"
"USC00343820","2018-07-22","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  344",",,7","  233",",,7",,,,,,,,,"  294",",,7","  356",",,7"
"USC00343820","2018-07-23","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  339",",,7","  217",",,7",,,,,,,,,"  289",",,7","  367",",,7"
"USC00343820","2018-07-24","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  339",",,7","  206",",,7",,,,,,,,,"  283",",,7","  372",",,7"
"USC00343820","2018-07-25","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  361",",,7","  189",",,7",,,,,,,,,"  283",",,7","  378",",,7"
"USC00343820","2018-07-26","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  311",",,7","  228",",,7",,,,,,,,,"  300",",,7","  333",",,7"
"USC00343820","2018-07-27","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  333",",,7","  200",",,7",,,,,,,,,"  278",",,7","  356",",,7"
"USC00343820","2018-07-28","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  356",",,7","  217",",,7",,,,,,,,,"  283",",,7","  361",",,7"
"USC00343820","2018-07-29","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","   66",",,7,2400",,,,,"  328",",,7","  211",",,7",,,,,,,,,"  278",",,7","  361",",,7"
