"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA00611B002","2018-03-08","44.2667","-79.9167","223.0","BORDEN AWOS, ON CA","    0",",,C","   -6",",,C","  -38",",,C","  -22",",,C","    0",",,C","    0",",,C"
"CA00611B002","2018-03-09","44.2667","-79.9167","223.0","BORDEN AWOS, ON CA",,,,,"  -38",",,C",,,"   30",",,C","  370",",,C"
"CA00611B002","2018-03-10","44.2667","-79.9167","223.0","BORDEN AWOS, ON CA","    5",",,C","    4",",,C","  -54",",,C","  -25",",,C","   30",",,C","  320",",,C"
"CA00611B002","2018-03-11","44.2667","-79.9167","223.0","BORDEN AWOS, ON CA","    0",",,C","    9",",,C"," -106",",,C","  -49",",,C","   34",",,C","  370",",,C"
"CA00611B002","2018-03-12","44.2667","-79.9167","223.0","BORDEN AWOS, ON CA","    5",",,C","   -7",",,C","  -52",",,C","  -30",",,C","    0",",,C","    0",",,C"
"CA00611B002","2018-03-13","44.2667","-79.9167","223.0","BORDEN AWOS, ON CA","   30",",,C","   -6",",,C","  -47",",,C","  -27",",,C","   35",",,C","  390",",,C"
"CA00611B002","2018-03-14","44.2667","-79.9167","223.0","BORDEN AWOS, ON CA","   30",",,C","   -1",",,C"," -107",",,C","  -54",",,C","   32",",,C","  460",",,C"
"CA00611B002","2018-03-15","44.2667","-79.9167","223.0","BORDEN AWOS, ON CA","   15",",,C","   19",",,C"," -155",",,C","  -68",",,C","   32",",,C","  390",",,C"
"CA00611B002","2018-03-16","44.2667","-79.9167","223.0","BORDEN AWOS, ON CA","    5",",,C","  -26",",,C","  -91",",,C","  -59",",,C","   32",",,C","  460",",,C"
"CA00611B002","2018-03-17","44.2667","-79.9167","223.0","BORDEN AWOS, ON CA","    0",",,C","   -7",",,C"," -105",",,C","  -56",",,C","   31",",,C","  460",",,C"
