"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV01","WV01_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00023184","2018-07-06","34.65167","-112.42083","1536.8","PRESCOTT LOVE FIELD, AZ US","   13",",,W,",,,,,"  350",",,W","  200",",,W","   27",",,W",,,,,,,,,,,"  130",",,W","  120",",,W",,,,,"   81",",,W","  107",",,W",,,,,,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023184","2018-07-07","34.65167","-112.42083","1536.8","PRESCOTT LOVE FIELD, AZ US","   58",",,W,",,,,,"  344",",,W","  183",",,W","   30",",,W",,,,,,,,,,,"   20",",,W","   10",",,W",,,,,"  134",",,W","  188",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023184","2018-07-08","34.65167","-112.42083","1536.8","PRESCOTT LOVE FIELD, AZ US","   33",",,W,",,,,,"  339",",,W","  183",",,W","   31",",,W",,,,,,,,,,,"  140",",,W","  140",",,W",,,,,"  139",",,W","  179",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023184","2018-07-09","34.65167","-112.42083","1536.8","PRESCOTT LOVE FIELD, AZ US","   20",",,W,",,,,,"  306",",,W","  178",",,W","   33",",,W",,,,,,,,,,,"  130",",,W","  140",",,W",,,,,"  116",",,W","  157",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023184","2018-07-10","34.65167","-112.42083","1536.8","PRESCOTT LOVE FIELD, AZ US","   36",",,W,",,,,,"  283",",,W","  161",",,W","   25",",,W",,,,,,,,,,,"   40",",,W","   40",",,W",,,,,"   89",",,W","  107",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023184","2018-07-11","34.65167","-112.42083","1536.8","PRESCOTT LOVE FIELD, AZ US","    5",",,W,",,,,,"  294",",,W","  172",",,W","   26",",,W",,,,,,,,,,,"  120",",,W","   90",",,W",,,,,"   89",",,W","  121",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023184","2018-07-12","34.65167","-112.42083","1536.8","PRESCOTT LOVE FIELD, AZ US","  135",",,W,",,,,,"  272",",,W","  178",",,W","   19",",,W",,,,,,,,,,,"  250",",,W","  250",",,W",,,,,"  125",",,W","  152",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023184","2018-07-13","34.65167","-112.42083","1536.8","PRESCOTT LOVE FIELD, AZ US","   36",",,W,","    0",",,W","    0",",,W","  289",",,W","  167",",,W","   25",",,W",,,,,,,,,,,"   20",",,W","  240",",,W",,,,,"   89",",,W","  107",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023184","2018-07-14","34.65167","-112.42083","1536.8","PRESCOTT LOVE FIELD, AZ US","   46",",,W,","    0",",,W","    0",",,W","  289",",,W","  178",",,W","   18",",,W",,,,,,,,,,,"  240",",,W","  240",",,W",,,,,"  165",",,W","  206",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023184","2018-07-15","34.65167","-112.42083","1536.8","PRESCOTT LOVE FIELD, AZ US","  424",",,W,","    0",",,W","    0",",,W","  294",",,W","  172",",,W","   22",",,W",,,,,,,,,,,"  100",",,W","  110",",,W",,,,,"   94",",,W","  121",",,W",,,"    1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
