"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00094814","2018-07-07","44.3591","-84.6738","350.8","HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US","    0",",,W,2400","    0",",,W","    0",",,W","  272",",,W","   78",",,W",,,,,"   23",",,W",,,,,"  187","H,,S",,,,,"  190",",,W","  210",",,W",,,,,,,"   54",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094814","2018-07-08","44.3591","-84.6738","350.8","HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US","    0",",,W,2400","    0",",,W","    0",",,W","  311",",,W","  106",",,W",,,,,"   36",",,W",,,,,"  221","H,,S",,,,,"  230",",,W","  220",",,W",,,,,,,"   63",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094814","2018-07-09","44.3591","-84.6738","350.8","HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US","    0",",,W,2400","    0",",,W","    0",",,W","  317",",,W","  183",",,W",,,,,"   38",",,W",,,,,"  246","H,,S",,,,,"  280",",,W","  280",",,W",,,,,,,"   81",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094814","2018-07-10","44.3591","-84.6738","350.8","HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US","    0",",,W,2400","    0",",,W","    0",",,W","  294",",,W","  144",",,W",,,,,"   29",",,W",,,,,"  241","H,,S",,,,,"   20",",,W","  350",",,W",,,,,,,"   67",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094814","2018-07-11","44.3591","-84.6738","350.8","HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US","    0",",,W,2400","    0",",,W","    0",",,W","  283",",,W","   89",",,W",,,,,"   17",",,W",,,,,"  199","H,,S",,,,,"  130",",,W","  150",",,W",,,,,,,"   58",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094814","2018-07-12","44.3591","-84.6738","350.8","HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US","  147",",,W,2400","    0",",,W","    0",",,W","  267",",,W","   94",",,W",,,,,"   23",",,W",,,,,"  191","H,,S",,,,,"  190",",,W","  200",",,W",,,,,,,"   58",",,W","   72",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094814","2018-07-13","44.3591","-84.6738","350.8","HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US","  127",",,W,2400","    0",",,W","    0",",,W","  322",",,W","  189",",,W",,,,,"   32",",,W",,,,,"  231","H,,S",,,,,"  340",",,W","  350",",,W",,,,,,,"  139",",,W","  219",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094814","2018-07-14","44.3591","-84.6738","350.8","HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US","   81",",,W,2400","    0",",,W","    0",",,W","  289",",,W","  194",",,W",,,,,"   15",",,W",,,,,"  229","H,,S",,,,,"  110",",,W","  110",",,W",,,,,,,"   81",",,W","  112",",,W",,,"    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094814","2018-07-15","44.3591","-84.6738","350.8","HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US","    0",",,W,2400","    0",",,W","    0",",,W","  311",",,W","  161",",,W",,,,,"   11",",,W",,,,,"  238","H,,S",,,,,"  280",",,W","  240",",,W",,,,,,,"   36",",,W","   54",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094814","2018-07-16","44.3591","-84.6738","350.8","HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US","    0","T,,W,2400","    0",",,W","    0",",,W","  306",",,W","  144",",,W",,,,,"   30",",,W",,,,,"  251","H,,S",,,,,"  300",",,W","  300",",,W",,,,,,,"   81",",,W","  130",",,W",,,"    1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
