"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN12","SN12_ATTRIBUTES","SN31","SN31_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN33","SN33_ATTRIBUTES","SN34","SN34_ATTRIBUTES","SN35","SN35_ATTRIBUTES","SN36","SN36_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX12","SX12_ATTRIBUTES","SX31","SX31_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX33","SX33_ATTRIBUTES","SX34","SX34_ATTRIBUTES","SX35","SX35_ATTRIBUTES","SX36","SX36_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00122309","2018-06-02","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","    3",",,7,0800",,,,,"  306",",,7","  161",",,7",,,,,,,,,,,,,,,,,,,"  200",",,7,0800",,,,,"  211",",,7",,,,,,,,,,,"  217",",,7",,,"  294",",,7",,,,,,,,,,,"  244",",,7",,,,,,,,,,,,
"USC00122309","2018-06-03","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","    5",",,7,0800",,,,,"  322",",,7","  194",",,7",,,,,,,,,,,,,,,,,,,"  206",",,7,0800",,,,,"  222",",,7",,,,,,,,,,,"  217",",,7",,,"  306",",,7",,,,,,,,,,,"  244",",,7",,,,,,,,,,,,
"USC00122309","2018-06-04","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","    0",",,7,0800",,,,,"  272",",,7","  106",",,7",,,,,,,,,,,,,,,,,,,"  128",",,7,0800",,,,,"  194",",,7",,,,,,,,,,,"  200",",,7",,,"  272",",,7",,,,,,,,,,,"  239",",,7",,,,,,,,,,,,
"USC00122309","2018-06-05","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","    0",",,7,0800",,,,,"  250",",,7","  100",",,7",,,,,,,,,,,,,,,,,,,"  106",",,7,0800",,,,,"  189",",,7",,,,,,,,,,,"  183",",,7",,,"  267",",,7",,,,,,,,,,,"  228",",,7",,,,,,,,,,,,
"USC00122309","2018-06-06","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","    0",",,7,0800",,,,,"  283",",,7","  106",",,7",,,,,,,,,,,,,,,,,,,"  144",",,7,0800",,,,,"  189",",,7",,,,,,,,,,,"  206",",,7",,,"  289",",,7",,,,,,,,,,,"  233",",,7",,,,,,,,,,,,
"USC00122309","2018-06-07","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","    0",",,7,0800",,,,,"  283",",,7","  128",",,7",,,,,,,,,,,,,,,,,,,"  139",",,7,0800",,,,,"  194",",,7",,,,,,,,,,,"  211",",,7",,,"  300",",,7",,,,,,,,,,,"  228",",,7",,,,,,,,,,,,
"USC00122309","2018-06-08","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","    0",",,7,0800",,,,,"  317",",,7","  139",",,7",,,,,,,,,,,,,,,,,,,"  200",",,7,0800",,,,,"  206",",,7",,,,,,,,,,,"  211",",,7",,,"  311",",,7",,,,,,,,,,,"  239",",,7",,,,,,,,,,,,
"USC00122309","2018-06-09","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","    0",",,7,0800",,,,,"  322",",,7","  189",",,7",,,,,,,,,,,,,,,,,,,"  211",",,7,0800",,,,,"  233",",,7",,,,,,,,,,,"  233",",,7",,,"  306",",,7",,,,,,,,,,,"  256",",,7",,,,,,,,,,,,
"USC00122309","2018-06-10","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","   64",",,7,0800",,,,,"  322",",,7","  161",",,7",,,,,,,,,,,,,,,,,,,"  206",",,7,0800",,,,,"  222",",,7",,,,,,,,,,,"  256",",I,7",,,"  311",",,7",,,,,,,,,,,"  228",",I,7",,,,,,,,,,,,
"USC00122309","2018-06-11","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","  734",",,7,0800",,,,,"  256",",,7","  161",",,7",,,,,,,,,,,,,,,,,,,"  172",",,7,0800",,,,,"  211",",,7",,,,,,,,,,,"  211",",,7",,,"  250",",,7",,,,,,,,,,,"  256",",,7",,,,,,,,,,,,
"USC00122309","2018-06-12","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","  170",",,7,0800",,,,,"  267",",,7","  167",",,7",,,,,,,,,,,,,,,,,,,"  172",",,7,0800",,,,,"  206",",,7",,,,,,,,,,,"  206",",,7",,,"  256",",,7",,,,,,,,,,,"  222",",,7",,,,,,,,,,,,
"USC00122309","2018-06-13","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","  234",",,7,0800",,,,,"  289",",,7","  172",",,7",,,,,,,,,,,,,,,,,,,"  189",",,7,0800",,,,,"  211",",,7",,,,,,,,,,,"  217",",,7",,,"  261",",,7",,,,,,,,,,,"  233",",,7",,,,,,,,,,,,
"USC00122309","2018-06-14","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","  224",",,7,0800",,,,,"  300",",,7","  150",",,7",,,,,,,,,,,,,,,,,,,"  161",",,7,0800",,,,,"  217",",,7",,,,,,,,,,,"  217",",,7",,,"  272",",,7",,,,,,,,,,,"  244",",,7",,,,,,,,,,,,
"USC00122309","2018-06-15","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","    0","T,,7,0800",,,,,"  294",",,7","  156",",,7",,,,,,,,,,,,,,,,,,,"  172",",,7,0800",,,,,"  217",",,7",,,,,,,,,,,"  217",",,7",,,"  294",",,7",,,,,,,,,,,"  244",",,7",,,,,,,,,,,,
"USC00122309","2018-06-16","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","    5",",,7,0800",,,,,"  311",",,7","  172",",,7",,,,,,,,,,,,,,,,,,,"  178",",,7,0800",,,,,"  228",",,7",,,,,,,,,,,"  211",",,7",,,"  300",",,7",,,,,,,,,,,"  256",",,7",,,,,,,,,,,,
"USC00122309","2018-06-17","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","    0",",,7,0800",,,,,"  344",",,7","  178",",,7",,,,,,,,,,,,,,,,,,,"  250",",,7,0800",,,,,"  233",",,7",,,,,,,,,,,"  222",",,7",,,"  317",",,7",,,,,,,,,,,"  267",",,7",,,,,,,,,,,,
"USC00122309","2018-06-18","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","    0",",,7,0800",,,,,"  339",",,7","  211",",,7",,,,,,,,,,,,,,,,,,,"  222",",,7,0800",,,,,"  261",",,7",,,,,,,,,,,"  222",",,7",,,"  317",",,7",,,,,,,,,,,"  272",",,7",,,,,,,,,,,,
"USC00122309","2018-06-19","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","    0",",,7,0800",,,,,"  328",",,7","  217",",,7",,,,,,,,,,,,,,,,,,,"  239",",,7,0800",,,,,"  256",",,7",,,,,,,,,,,"  244",",,7",,,"  317",",,7",,,,,,,,,,,"  272",",,7",,,,,,,,,,,,
"USC00122309","2018-06-20","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","    0",",,7,0800",,,,,"  322",",,7","  206",",,7",,,,,,,,,,,,,,,,,,,"  228",",,7,0800",,,,,"  250",",,7",,,,,,,,,,,"  256",",,7",,,"  306",",,7",,,,,,,,,,,"  272",",,7",,,,,,,,,,,,
"USC00122309","2018-06-21","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","   58",",,7,0800",,,,,"  306",",,7","  200",",,7",,,,,,,,,,,,,,,,,,,"  200",",,7,0800",,,,,"  211",",,7",,,,,,,,,,,"  244",",,7",,,"  283",",,7",,,,,,,,,,,"  256",",,7",,,,,,,,,,,,
