"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00205603","2018-06-26","41.7216","-84.2147","234.7","MORENCI, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,","  250",",,7","  128",",,7",,,,,"  144",",,7,0730",,,,,,,,,,,,,,
"USC00205603","2018-06-27","41.7216","-84.2147","234.7","MORENCI, MI US","   18",",,7,0730","    0",",,7,","    0",",,7,","  272",",,7","  144",",,7",,,,,"  189",",,7,0730",,,,,,,,,,,,,,
"USC00205603","2018-06-28","41.7216","-84.2147","234.7","MORENCI, MI US","    5",",,7,0730","    0",",,7,","    0",",,7,","  261",",,7","  156",",,7",,,,,"  167",",,7,0730",,,,,,,,,,,,,,
"USC00205603","2018-06-29","41.7216","-84.2147","234.7","MORENCI, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,","  306",",,7","  161",",,7",,,,,"  194",",,7,0730",,,,,,,,,,,,,,
"USC00205603","2018-06-30","41.7216","-84.2147","234.7","MORENCI, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,","  328",",,7","  161",",,7",,,,,"  228",",,7,0730",,,,,,,,,,,,,,
"USC00205603","2018-07-01","41.7216","-84.2147","234.7","MORENCI, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,","  344",",,7","  206",",,7",,,,,"  222",",,7,0730",,,,,,,,,,,,,,
"USC00205603","2018-07-02","41.7216","-84.2147","234.7","MORENCI, MI US","   23",",,7,0730","    0",",,7,","    0",",,7,","  333",",,7","  222",",,7",,,,,"  239",",,7,0730",,,,,,,,,,,,,,
"USC00205603","2018-07-03","41.7216","-84.2147","234.7","MORENCI, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,","  322",",,7","  194",",,7",,,,,"  211",",,7,0730",,,,,,,,,,,,,,
"USC00205603","2018-07-04","41.7216","-84.2147","234.7","MORENCI, MI US","   18",",,7,0730","    0",",,7,","    0",",,7,","  339",",,7","  206",",,7",,,,,"  217",",,7,0730",,,"    1",",,7",,,,,,,,,,
"USC00205603","2018-07-05","41.7216","-84.2147","234.7","MORENCI, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,","  350",",,7","  217",",,7",,,,,,,,,,,,,,,,,,,,
"USC00205603","2018-07-06","41.7216","-84.2147","234.7","MORENCI, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,","  350",",,7","  200",",,7",,,,,,,,,,,,,,,,,,,,
"USC00205603","2018-07-07","41.7216","-84.2147","234.7","MORENCI, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,","  278",",,7","   89",",,7",,,,,,,,,,,,,,,,,,,,
