"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWDR","AWDR_ATTRIBUTES","AWND","AWND_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFI","WSFI_ATTRIBUTES"
"USS0005K14S","2018-07-06","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  213",",,T","   73",",,T",,,,,"  138",",,T","  109",",,T","    0",",,T",,
"USS0005K14S","2018-07-07","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  227",",,T","   91",",,T",,,,,"  140",",,T","   91",",,T","    0",",,T",,
"USS0005K14S","2018-07-08","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","   51",",,T","    0",",,T","  224",",,T","   78",",,T",,,,,"  138",",,T","   82",",,T","    0",",,T",,
"USS0005K14S","2018-07-09","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  207",",,T","   80",",,T",,,,,"  146",",,T","  108",",,T","    0",",,T",,
"USS0005K14S","2018-07-10","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  223",",,T","   92",",,T",,,,,"  150",",,T","   92",",,T","    0",",,T",,
"USS0005K14S","2018-07-11","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  217",",,T","   83",",,T",,,,,"  146",",,T","   91",",,T","    0",",,T",,
"USS0005K14S","2018-07-12","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","   51",",,T","    0",",,T","  204",",,T","   47",",,T",,,,,"   99",",,T","   65",",,T","    0",",,T",,
"USS0005K14S","2018-07-13","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  181",",,T","   58",",,T",,,,,"  118",",,T","   92",",,T","    0",",,T",,
"USS0005K14S","2018-07-14","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  210",",,T","   81",",,T",,,,,"  145",",,T","  112",",,T","    0",",,T",,
"USS0005K14S","2018-07-15","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  144",",,T","   70",",,T",,,,,"   99",",,T","   72",",,T","    0",",,T",,
"USS0005K14S","2018-07-16","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  200",",,T","   63",",,T",,,,,"  126",",,T","  101",",,T","    0",",,T",,
"USS0005K14S","2018-07-17","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  197",",,T","   83",",,T",,,,,"  133",",,T","  104",",,T","    0",",,T",,
"USS0005K14S","2018-07-18","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  194",",,T","   81",",,T",,,,,"  138",",,T","  107",",,T","    0",",,T",,
"USS0005K14S","2018-07-19","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  217",",,T","   87",",,T",,,,,"  149",",,T","  135",",,T","    0",",,T",,
"USS0005K14S","2018-07-20","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  228",",,T","  112",",,T",,,,,"  146",",,T","  119",",,T","    0",",,T",,
"USS0005K14S","2018-07-21","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  215",",,T","   93",",,T",,,,,"  142",",,T","  130",",,T","    0",",,T",,
"USS0005K14S","2018-07-22","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","  152",",,T","    0",",,T","  201",",,T","   82",",,T",,,,,"  126",",,T","   89",",,T","    0",",,T",,
"USS0005K14S","2018-07-23","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","   51",",,T","    0",",,T","  179",",,T","   80",",,T",,,,,"  109",",,T","   83",",,T","    0",",,T",,
"USS0005K14S","2018-07-24","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  208",",,T","   73",",,T",,,,,"  132",",,T","  102",",,T","    0",",,T",,
"USS0005K14S","2018-07-25","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  191",",,T","   72",",,T",,,,,"  128",",,T","   81",",,T","    0",",,T",,
"USS0005K14S","2018-07-26","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  190",",,T","   68",",,T",,,,,"  119",",,T","  107",",,T","    0",",,T",,
"USS0005K14S","2018-07-27","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  181",",,T","   73",",,T",,,,,"  118",",,T","   83",",,T","    0",",,T",,
"USS0005K14S","2018-07-28","39.8","-105.78","3444.2","BERTHOUD SUMMIT, CO US","    0",",,T","    0",",,T","  169",",,T","   63",",,T",,,,,"  107",",,T","   88",",,T","    0",",,T",,
