"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA006151061","2018-06-28","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  288",",,C","  174",",,C","  231",",,C","    0",",,C","    0",",,C"
"CA006151061","2018-06-29","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  311",",,C","  209",",,C","  260",",,C","   17",",,C","  330",",,C"
"CA006151061","2018-06-30","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  329",",,C","  230",",,C","  280",",,C","   20",",,C","  330",",,C"
"CA006151061","2018-07-01","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  328",",,C","  234",",,C","  281",",,C","   19",",,C","  320",",,C"
"CA006151061","2018-07-02","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  310",",,C","  227",",,C","  269",",,C","   22",",,C","  440",",,C"
"CA006151061","2018-07-03","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  251",",,C","  199",",,C","  225",",,C","    0",",,C","    0",",,C"
"CA006151061","2018-07-04","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  254",",,C","  218",",,C","  236",",,C","    0",",,C","    0",",,C"
"CA006151061","2018-07-05","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  319",",,C","  222",",,C","  271",",,C","   29",",,C","  560",",,C"
"CA006151061","2018-07-06","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  231",",,C","  177",",,C","  204",",,C","   31",",,C","  440",",,C"
"CA006151061","2018-07-07","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  237",",,C","  179",",,C","  208",",,C","    0",",,C","    0",",,C"
"CA006151061","2018-07-08","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  282",",,C","  185",",,C","  234",",,C","    0",",,C","    0",",,C"
"CA006151061","2018-07-09","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  308",",,C","  188",",,C","  248",",,C","   20",",,C","  320",",,C"
"CA006151061","2018-07-10","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  291",",,C","  208",",,C","  250",",,C","   35",",,C","  430",",,C"
"CA006151061","2018-07-11","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  239",",,C","  196",",,C","  218",",,C","   33",",,C","  320",",,C"
"CA006151061","2018-07-12","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  263",",,C","  188",",,C","  226",",,C","    0",",,C","    0",",,C"
"CA006151061","2018-07-13","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  300",",,C","  223",",,C","  262",",,C","    0",",,C","    0",",,C"
"CA006151061","2018-07-14","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  279",",,C","  218",",,C","  249",",,C","    0",",,C","    0",",,C"
"CA006151061","2018-07-15","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  258",",,C","  211",",,C","  235",",,C","    0",",,C","    0",",,C"
"CA006151061","2018-07-16","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  324",",,C","  235",",,C","  280",",,C","   15",",,C","  430",",,C"
"CA006151061","2018-07-17","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  261",",,C","  191",",,C","  226",",,C","   33",",,C","  440",",,C"
"CA006151061","2018-07-18","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  239",",,C","  176",",,C","  208",",,C","   33",",,C","  360",",,C"
"CA006151061","2018-07-19","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  250",",,C","  164",",,C","  207",",,C",,,,
"CA006151061","2018-07-20","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  281",",,C","  201",",,C","  241",",,C","   14",",,C","  430",",,C"
"CA006151061","2018-07-21","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  259",",,C","  181",",,C","  220",",,C","   10",",,C","  440",",,C"
"CA006151061","2018-07-22","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  237",",,C","  171",",,C","  204",",,C","   35",",,C","  440",",,C"
"CA006151061","2018-07-23","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  231",",,C","  212",",,C","  221",",,C",,,,
"CA006151061","2018-07-24","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  297",",,C","  216",",,C","  257",",,C","   14",",,C","  730",",,C"
"CA006151061","2018-07-25","43.3","-79.8","77.0","BURLINGTON PIERS AUT, ON CA","  292",",,C","  213",",,C","  252",",,C",,,,
