"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES"
"USW00094173","2018-05-20","44.54444","-110.42111","2388.1","YELLOWSTONE LAKE, WY US","   18",",,W",,,,,"  156",",,W","  -16",",,W","    8",",,W",,,,,,,,,"  270",",,W","  260",",,W","   31",",,W","   54",",,W",,,,
"USW00094173","2018-05-21","44.54444","-110.42111","2388.1","YELLOWSTONE LAKE, WY US","    0",",,W","    0",",,W",,,"  156",",,W","   -5",",,W","    8",",,W",,,,,,,,,"  210",",,W","  230",",,W","   45",",,W","   76",",,W",,,,
"USW00094173","2018-05-22","44.54444","-110.42111","2388.1","YELLOWSTONE LAKE, WY US","    0",",,W","    0",",,W",,,"  172",",,W","  -16",",,W","    5",",,W",,,,,,,,,"  110",",,W","  170",",,W","   31",",,W","   49",",,W",,,,
"USW00094173","2018-05-23","44.54444","-110.42111","2388.1","YELLOWSTONE LAKE, WY US","  292",",,W",,,,,"   50",",,W","    0",",,W","    0",",,W",,,,,,,,,"  130",",,W","  120",",,W","   22",",,W","   31",",,W",,,,
"USW00094173","2018-05-24","44.54444","-110.42111","2388.1","YELLOWSTONE LAKE, WY US","    0",",,W",,,,,"  139",",,W","   17",",,W","    0",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094173","2018-05-25","44.54444","-110.42111","2388.1","YELLOWSTONE LAKE, WY US","    0",",,W",,,,,"  194",",,W","   -5",",,W","    7",",,W",,,,,,,,,"  220",",,W","  220",",,W","   36",",,W","   76",",,W",,,,
"USW00094173","2018-05-26","44.54444","-110.42111","2388.1","YELLOWSTONE LAKE, WY US","    8",",,W",,,,,"  200",",,W","    6",",,W","    8",",,W",,,,,,,,,"  290",",,W","  280",",,W","   58",",,W","   94",",,W",,,,
"USW00094173","2018-05-27","44.54444","-110.42111","2388.1","YELLOWSTONE LAKE, WY US","   38",",,W",,,,,"  172",",,W","   28",",,W","   10",",,W",,,,,,,,,"  250",",,W","  260",",,W","   40",",,W","   72",",,W",,,,
"USW00094173","2018-05-28","44.54444","-110.42111","2388.1","YELLOWSTONE LAKE, WY US","   48",",,W",,,,,"  117",",,W","   11",",,W","    5",",,W",,,,,,,,,"  320",",,W","  300",",,W","   45",",,W","   89",",,W",,,,
"USW00094173","2018-05-29","44.54444","-110.42111","2388.1","YELLOWSTONE LAKE, WY US","   18",",,W",,,,,"  122",",,W","   11",",,W","    7",",,W",,,,,,,,,"  190",",,W","  190",",,W","   40",",,W","   63",",,W",,,,
