"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00093013","2018-07-06","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0","T,,W,2400",,,"  339",",,W","  156",",,W","   33",",,W",,,,,,,,,,,"  150",",,W","  140",",,W","  112",",,W","  152",",,W",,,,,"    1",",,W",,
"USW00093013","2018-07-07","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0",",,W,2400",,,"  356",",,W","  167",",,W","   39",",,W",,,,,,,,,,,"   80",",,W","   60",",,W","  112",",,W","  139",",,W",,,,,,,,
"USW00093013","2018-07-08","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    3",",,W,2400",,,"  344",",,W","  167",",,W","   34",",,W",,,,,,,,,,,"  110",",,W","  120",",,W","  112",",,W","  139",",,W",,,,,,,,
"USW00093013","2018-07-09","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0",",,W,2400",,,"  344",",,W","  133",",,W","   35",",,W",,,,,,,,,,,"  340",",,W","  330",",,W","   72",",,W","   98",",,W",,,,,,,,
"USW00093013","2018-07-10","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0",",,W,2400",,,"  350",",,W","  183",",,W","   50",",,W",,,,,,,,,,,"  150",",,W","  140",",,W","  143",",,W","  179",",,W",,,,,,,,
"USW00093013","2018-07-11","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    3",",,W,2400",,,"  344",",,W","  172",",,W","   37",",,W",,,,,,,,,,,"   60",",,W","  220",",,W","  130",",,W","  161",",,W",,,,,"    1",",,W",,
"USW00093013","2018-07-12","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0",",,W,2400",,,"  306",",,W","  178",",,W","   26",",,W",,,,,,,,,,,"  230",",,W","  280",",,W","   67",",,W","  103",",,W",,,,,,,,
"USW00093013","2018-07-13","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0","T,,W,2400",,,"  344",",,W","  194",",,W","   40",",,W",,,,,,,,,,,"  160",",,W","  160",",,W","   89",",,W","  103",",,W",,,,,"    1",",,W",,
"USW00093013","2018-07-14","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0",",,W,2400",,,"  344",",,W","  217",",,W","   37",",,W",,,,,,,,,,,"  300",",,W","  280",",,W","  125",",,W","  157",",,W",,,,,,,,
"USW00093013","2018-07-15","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    8",",,W,2400",,,"  294",",,W","  178",",,W","   44",",,W",,,,,,,,,,,"  150",",,W","  150",",,W","  143",",,W","  165",",,W",,,,,"    1",",,W",,
"USW00093013","2018-07-16","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0",",,W,2400",,,"  344",",,W","  156",",,W","   34",",,W",,,,,,,,,,,"  110",",,W","  110",",,W","   76",",,W","  103",",,W",,,,,,,,
"USW00093013","2018-07-17","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0",",,W,2400",,,"  333",",,W","  183",",,W","   34",",,W",,,,,,,,,,,"  290",",,W","  290",",,W","  157",",,W","  201",",,W",,,,,,,,
"USW00093013","2018-07-18","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0",",,W,2400",,,"  328",",,W","  156",",,W","   30",",,W",,,,,,,,,,,"  200",",,W","  220",",,W","   76",",,W","  107",",,W",,,,,"    1",",,W",,
"USW00093013","2018-07-19","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0",",,W,2400",,,"  356",",,W","  172",",,W","   30",",,W",,,,,,,,,,,"  330",",,W","  340",",,W","   72",",,W","   89",",,W",,,,,,,"    1",",,W"
"USW00093013","2018-07-20","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0",",,W,2400",,,"  328",",,W","  183",",,W","   34",",,W",,,,,,,,,,,"  110",",,W","  110",",,W","   76",",,W","   89",",,W",,,,,,,"    1",",,W"
"USW00093013","2018-07-21","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0","T,,W,2400",,,"  356",",,W","  172",",,W","   39",",,W",,,,,,,,,,,"  160",",,W","  160",",,W","  148",",,W","  174",",,W",,,,,,,"    1",",,W"
"USW00093013","2018-07-22","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0",",,W,2400",,,"  350",",,W","  194",",,W","   29",",,W",,,,,,,,,,,"  160",",,W","  160",",,W","   63",",,W","   81",",,W",,,,,"    1",",,W",,
"USW00093013","2018-07-23","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","   28",",,W,2400",,,"  350",",,W","  161",",,W","   36",",,W",,,,,,,,,,,"  310",",,W","  330",",,W","  125",",,W","  170",",,W",,,,,"    1",",,W",,
"USW00093013","2018-07-24","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0","T,,W,2400",,,"  344",",,W","  178",",,W","   39",",,W",,,,,,,,,,,"  140",",,W","  140",",,W","  107",",,W","  134",",,W",,,,,"    1",",,W",,
"USW00093013","2018-07-25","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0",",,W,2400",,,"  333",",,W","  167",",,W","   43",",,W",,,,,,,,,,,"  310",",,W","  300",",,W","  107",",,W","  130",",,W",,,,,,,,
"USW00093013","2018-07-26","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    0",",,W,2400",,,"  339",",,W","  161",",,W","   37",",,W",,,,,,,,,,,"  300",",,W","  330",",,W","   76",",,W","   98",",,W",,,,,,,,
"USW00093013","2018-07-27","38.50583","-107.89889","1743.5","MONTROSE REGIONAL AIRPORT, CO US","    8",",,W,2400",,,"  328",",,W","  167",",,W","   51",",,W",,,,,,,,,,,"  340",",,W","  340",",,W","  139",",,W","  179",",,W",,,,,"    1",",,W",,
