"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00023160","2018-07-07","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","    0","T,,W,2400","    0",",,W","    0",",,W","  417",",,W","  294",",,W",,,,,"   39",",,W",,,,,,,,,"  358","H,,S",,,,,"   90",",,W","   90",",,W",,,,,,,,,"  107",",,W","  170",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023160","2018-07-08","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","    0","T,,W,2400","    0",",,W","    0",",,W","  406",",,W","  283",",,W",,,,,"   44",",,W",,,,,,,,,"  336","H,,S",,,,,"  350",",,W","  350",",,W",,,,,,,,,"  130",",,W","  183",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023160","2018-07-09","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","  257",",,W,2400","    0",",,W","    0",",,W","  372",",,W","  239",",,W",,,,,"   30",",,W",,,,,,,,,"  308","H,,S",,,,,"  130",",,W","  150",",,W",,,,,,,,,"  107",",,W","  237",",,W",,,,,,,,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023160","2018-07-10","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","   46",",,W,2400","    0",",,W","    0",",,W","  328",",,W","  222",",,W",,,,,"   21",",,W",,,,,,,,,"  254","H,,S",,,,,"  100",",,W","  110",",,W",,,,,,,,,"  116",",,W","  165",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023160","2018-07-11","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","    3",",,W,2400","    0",",,W","    0",",,W","  311",",,W","  239",",,W",,,,,"   35",",,W",,,,,,,,,"  262","H,,S",,,,,"  310",",,W","  330",",,W",,,,,,,,,"   63",",,W","  125",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023160","2018-07-12","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","   71",",,W,2400","    0",",,W","    0",",,W","  356",",,W","  233",",,W",,,,,"   28",",,W",,,,,,,,,"  282","H,,S",,,,,"  150",",,W","  140",",,W",,,,,,,,,"   98",",,W","  143",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023160","2018-07-13","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","    0","T,,W,2400","    0",",,W","    0",",,W","  367",",,W","  239",",,W",,,,,"   40",",,W",,,,,,,,,"  293","H,,S",,,,,"  180",",,W","  170",",,W",,,,,,,,,"  103",",,W","  143",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023160","2018-07-14","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","   10",",,W,2400","    0",",,W","    0",",,W","  300",",,W","  250",",,W",,,,,"   29",",,W",,,,,,,,,"  273","H,,S",,,,,"  110",",,W","  150",",,W",,,,,,,,,"   72",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023160","2018-07-15","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","   30",",,W,2400","    0",",,W","    0",",,W","  311",",,W","  228",",,W",,,,,"   22",",,W",,,,,,,,,"  258","H,,S",,,,,"  150",",,W","  160",",,W",,,,,,,,,"   63",",,W","  103",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023160","2018-07-16","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","   25",",,W,2400","    0",",,W","    0",",,W","  372",",,W","  244",",,W",,,,,"   39",",,W",,,,,,,,,"  289","H,,S",,,,,"   50",",,W","  190",",,W",,,,,,,,,"  103",",,W","  116",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
