"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00143984","2018-07-02","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  211",",,7","  228",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-03","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  228",",,7","  244",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-04","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  228",",,7","  244",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-05","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  217",",,7","  250",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-06","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  233",",,7","  250",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-07","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  211",",,7","  233",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-08","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  183",",,7","  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-09","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  211",",,7","  233",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-10","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  222",",,7","  256",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-11","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  222",",,7","  261",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-12","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  350",",,7","  228",",,7","  261",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-13","37.9233","-95.4241","290.8","IOLA 1 W, KS US","   38",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  228",",,7","  239",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-14","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  228",",,7","  256",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-15","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  222",",,7","  261",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-16","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  217",",,7","  244",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-17","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  211",",,7","  228",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-18","37.9233","-95.4241","290.8","IOLA 1 W, KS US","   20",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  222",",,7","  233",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-19","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  228",",,7","  239",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-20","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  200",",,7","  233",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-21","37.9233","-95.4241","290.8","IOLA 1 W, KS US","  104",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  206",",,7","  250",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-22","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  183",",,7","  239",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-23","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  189",",,7","  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-24","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  178",",,7","  200",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-25","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  161",",,7","  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-26","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  211",",,7","  233",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-27","37.9233","-95.4241","290.8","IOLA 1 W, KS US","   10",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  144",",,7","  178",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-28","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  178",",,7","  211",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-29","37.9233","-95.4241","290.8","IOLA 1 W, KS US","  203",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  189",",,7","  194",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-30","37.9233","-95.4241","290.8","IOLA 1 W, KS US","   10",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  178",",,7","  183",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-07-31","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  161",",,7","  167",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-01","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  156",",,7","  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-02","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  161",",,7","  178",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-03","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  161",",,7","  194",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-04","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  189",",,7","  239",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-05","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  222",",,7","  228",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-06","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  228",",,7","  250",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-07","37.9233","-95.4241","290.8","IOLA 1 W, KS US","  178",",,7,0800","    0",",,7,0800","    0",",,7,0800","  367",",,7","  206",",,7","  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-08","37.9233","-95.4241","290.8","IOLA 1 W, KS US","   79",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  194",",,7","  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-09","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  200",",,7","  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-10","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  200",",,7","  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-11","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  339",",,7","  178",",,7","  244",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-12","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  183",",,7","  294",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-13","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  211",",,7","  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-14","37.9233","-95.4241","290.8","IOLA 1 W, KS US","   99",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  211",",,7","  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-15","37.9233","-95.4241","290.8","IOLA 1 W, KS US","   30",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  200",",,7","  217",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-16","37.9233","-95.4241","290.8","IOLA 1 W, KS US","   18",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  189",",,7","  200",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-17","37.9233","-95.4241","290.8","IOLA 1 W, KS US","  729",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  200",",,7","  206",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00143984","2018-08-18","37.9233","-95.4241","290.8","IOLA 1 W, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  183",",,7","  189",",,7,0800",,,,,,,,,,,,,,,,,,,,
