"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00425969","2017-12-19","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   28",",,7"," -117",",,7",,,,,,,,,,," -111",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2017-12-20","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   44",",,7"," -111",",,7",,,,,,,,,,,"  -72",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2017-12-21","40.19404","-110.06087","1549.9","MYTON, UT US","    8",",,7,0800","    8",",,7,0800",,,"   50",",,7","  -78",",,7",,,,,,,,,,,"  -50",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2017-12-22","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800",,,"   50",",,7"," -189",",,7",,,,,,,,,,," -178",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2017-12-23","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800",,,"  -44",",,7"," -178",",,7",,,,,,,,,,," -150",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2017-12-26","40.19404","-110.06087","1549.9","MYTON, UT US",,,,,,,"   78",",,7"," -156",",,7",,,,,,,,,,,"  -94",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2017-12-27","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   72",",,7"," -122",",,7",,,,,,,,,,," -100",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2017-12-28","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   33",",,7"," -111",",,7",,,,,,,,,,," -100",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2017-12-29","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   78",",,7"," -111",",,7",,,,,,,,,,," -106",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2017-12-30","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   67",",,7"," -106",",,7",,,,,,,,,,,"  -83",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2017-12-31","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-01","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-02","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  133",",,7"," -128",",,7",,,,,,,,,,," -111",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-03","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   33",",,7"," -128",",,7",,,,,,,,,,," -117",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-04","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","    6",",,7"," -144",",,7",,,,,,,,,,," -122",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-05","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   17",",,7"," -122",",,7",,,,,,,,,,,"  -94",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-06","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   39",",,7","  -94",",,7",,,,,,,,,,,"  -50",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-07","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-08","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   39",",,7"," -117",",,7",,,,,,,,,,,"  -67",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-09","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   39",",,7","  -72",",,7",,,,,,,,,,,"  -17",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-10","40.19404","-110.06087","1549.9","MYTON, UT US","   10",",,7,0800","   10",",,7,0800",,,"   22",",,7","  -17",",,7",,,,,,,,,,,"   -6",",,7,0800",,,"    1",",,7",,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-11","40.19404","-110.06087","1549.9","MYTON, UT US",,,,,,,"   78",",,7","  -28",",,7",,,,,,,,,,,"  -17",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-12","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   56",",,7","  -83",",,7",,,,,,,,,,,"  -28",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-13","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  106",",,7","  -89",",,7",,,,,,,,,,,"  -72",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-14","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-15","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-16","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   61",",,7"," -117",",,7",,,,,,,,,,," -106",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-17","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   17",",,7"," -106",",,7",,,,,,,,,,,"  -89",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-18","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   44",",,7","  -89",",,7",,,,,,,,,,,"  -72",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-19","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   56",",,7","  -83",",,7",,,,,,,,,,,"  -72",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-20","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   61",",,7","  -72",",,7",,,,,,,,,,,"  -33",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-22","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800",,,"   22",",,7"," -161",",,7",,,,,,,,,,," -156",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-23","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800",,,"  -28",",,7"," -161",",,7",,,,,,,,,,," -144",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-24","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800",,,"  -11",",,7"," -150",",,7",,,,,,,,,,," -139",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00425969","2018-01-25","40.19404","-110.06087","1549.9","MYTON, UT US","    0",",,7,0800","    0",",,7,0800",,,"    0",",,7"," -139",",,7",,,,,,,,,,," -100",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
