"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGB","FRGB_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","FRTH","FRTH_ATTRIBUTES","GAHT","GAHT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00014931","2018-07-07","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  272",",,W","  150",",,W",,,,,"   27",",,W",,,,,,,,,,,,,"  217","H,,S",,,,,,,"  100",",,W","  120",",,W",,,,,,,"   45",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-08","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  289",",,W","  139",",,W",,,,,"   19",",,W",,,,,,,,,,,,,"  224","H,,S",,,,,,,"  170",",,W","  180",",,W",,,,,,,"   45",",,W","   63",",,W",,,"    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-09","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  328",",,W","  178",",,W",,,,,"   14",",,W",,,,,,,,,,,,,"  252","H,,S",,,,,,,"  260",",,W","  250",",,W",,,,,,,"   45",",,W","   63",",,W",,,"    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-10","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  328",",,W","  206",",,W",,,,,"   24",",,W",,,,,,,,,,,,,"  273","H,,S",,,,,,,"   40",",,W","  310",",,W",,,,,,,"   54",",,W","   85",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-11","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  317",",,W","  206",",,W",,,,,"   28",",,W",,,,,,,,,,,,,"  267","H,,S",,,,,,,"  120",",,W","  120",",,W",,,,,,,"   54",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-12","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  322",",,W","  217",",,W",,,,,"   38",",,W",,,,,,,,,,,,,"  269","H,,S",,,,,,,"  180",",,W","  180",",,W",,,,,,,"   63",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-13","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","  191",",,W,",,,,,"  344",",,W","  222",",,W",,,,,"   35",",,W",,,,,,,,,,,,,"  268","H,,S",,,,,,,"  170",",,W","  180",",,W",,,,,,,"  139",",,W","  228",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-14","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","  114",",,W,",,,,,"  317",",,W","  222",",,W",,,,,"   24",",,W",,,,,,,,,,,,,"  256","H,,S",,,,,,,"  190",",,W","  100",",,W",,,,,,,"   67",",,W","   98",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-15","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  306",",,W","  206",",,W",,,,,"   10",",,W",,,,,,,,,,,,,"  240","H,,S",,,,,,,"  240",",,W","  210",",,W",,,,,,,"   31",",,W","   45",",,W",,,"    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-16","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  311",",,W","  189",",,W",,,,,"   26",",,W",,,,,,,,,,,,,"  266","H,,S",,,,,,,"  360",",,W","  350",",,W",,,,,,,"   67",",,W","   98",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-17","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  306",",,W","  167",",,W",,,,,"   15",",,W",,,,,,,,,,,,,"  242","H,,S",,,,,,,"   60",",,W","   60",",,W",,,,,,,"   40",",,W","   54",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-18","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  289",",,W","  194",",,W",,,,,"   32",",,W",,,,,,,,,,,,,"  233","H,,S",,,,,,,"  140",",,W","  140",",,W",,,,,,,"   58",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-19","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","  193",",,W,",,,,,"  283",",,W","  178",",,W",,,,,"   43",",,W",,,,,,,,,,,,,"  224","H,,S",,,,,,,"  160",",,W","  210",",,W",,,,,,,"   81",",,W","  112",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-20","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  250",",,W","  200",",,W",,,,,"   47",",,W",,,,,,,,,,,,,"  224","H,,S",,,,,,,"  320",",,W","  290",",,W",,,,,,,"   81",",,W","  130",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-21","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  272",",,W","  189",",,W",,,,,"   44",",,W",,,,,,,,,,,,,"  222","H,,S",,,,,,,"  330",",,W","  340",",,W",,,,,,,"   76",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-22","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  256",",,W","  183",",,W",,,,,"   45",",,W",,,,,,,,,,,,,"  219","H,,S",,,,,,,"  360",",,W","  350",",,W",,,,,,,"   76",",,W","   98",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-23","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  289",",,W","  178",",,W",,,,,"   30",",,W",,,,,,,,,,,,,"  233","H,,S",,,,,,,"  310",",,W","  330",",,W",,,,,,,"   63",",,W","  107",",,W",,,"    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-24","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  300",",,W","  178",",,W",,,,,"   26",",,W",,,,,,,,,,,,,"  241","H,,S",,,,,,,"  300",",,W","  310",",,W",,,,,,,"   63",",,W","   94",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-25","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  283",",,W","  161",",,W",,,,,"   16",",,W",,,,,,,,,,,,,"  229","H,,S",,,,,,,"  180",",,W","  180",",,W",,,,,,,"   40",",,W","   58",",,W",,,"    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-26","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  267",",,W","  178",",,W",,,,,"   39",",,W",,,,,,,,,,,,,"  226","H,,S",,,,,,,"  310",",,W","  290",",,W",,,,,,,"   72",",,W","  116",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-27","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  256",",,W","  133",",,W",,,,,"   27",",,W",,,,,,,,,,,,,"  200","H,,S",,,,,,,"  340",",,W","  300",",,W",,,,,,,"   63",",,W","   89",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-28","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  256",",,W","  122",",,W",,,,,"    6",",,W",,,,,,,,,,,,,"  196","H,,S",,,,,,,"  180",",,W","  170",",,W",,,,,,,"   31",",,W","   45",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-29","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","   48",",,W,",,,,,"  228",",,W","  150",",,W",,,,,"   18",",,W",,,,,,,,,,,,,"  193","H,,S",,,,,,,"  150",",,W","  120",",,W",,,,,,,"   54",",,W","   72",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014931","2018-07-30","40.78333","-91.12528","210.9","BURLINGTON MUNICIPAL AIRPORT, IA US","    0",",,W,",,,,,"  272",",,W","  139",",,W",,,,,"   23",",,W",,,,,,,,,,,,,"  203","H,,S",,,,,,,"   50",",,W","   80",",,W",,,,,,,"   63",",,W","   81",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
