"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"RQC00662801","2018-07-02","18.3808","-67.1569","12.2","COLOSO, PR US","    0",",,7",,,,,"  311",",,7","  222",",,7",,,,,"  244",",,7"
"RQC00662801","2018-07-03","18.3808","-67.1569","12.2","COLOSO, PR US","   13",",,7",,,,,"  311",",,7","  217",",,7",,,,,"  250",",,7"
"RQC00662801","2018-07-04","18.3808","-67.1569","12.2","COLOSO, PR US","    0",",,7",,,,,"  317",",,7","  222",",,7",,,,,"  244",",,7"
"RQC00662801","2018-07-05","18.3808","-67.1569","12.2","COLOSO, PR US","    0",",,7",,,,,"  317",",,7","  228",",,7",,,,,"  250",",,7"
"RQC00662801","2018-07-06","18.3808","-67.1569","12.2","COLOSO, PR US","    0",",,7",,,,,"  311",",,7","  228",",,7",,,,,"  250",",,7"
"RQC00662801","2018-07-07","18.3808","-67.1569","12.2","COLOSO, PR US","   33",",,7",,,,,"  322",",,7","  228",",,7",,,,,"  244",",,7"
"RQC00662801","2018-07-08","18.3808","-67.1569","12.2","COLOSO, PR US","    0",",,7",,,,,"  317",",,7","  228",",,7",,,,,"  250",",,7"
"RQC00662801","2018-07-09","18.3808","-67.1569","12.2","COLOSO, PR US","    0",",,7",,,,,"  311",",,7","  222",",,7",,,,,"  244",",,7"
"RQC00662801","2018-07-10","18.3808","-67.1569","12.2","COLOSO, PR US","  142",",,7",,,,,"  283",",,7","  228",",,7",,,,,"  244",",,7"
"RQC00662801","2018-07-11","18.3808","-67.1569","12.2","COLOSO, PR US","    0",",,7",,,,,"  311",",,7","  228",",,7",,,,,"  250",",,7"
"RQC00662801","2018-07-12","18.3808","-67.1569","12.2","COLOSO, PR US","    0",",,7",,,,,"  317",",,7","  222",",,7",,,,,"  250",",,7"
"RQC00662801","2018-07-13","18.3808","-67.1569","12.2","COLOSO, PR US","    0",",,7",,,,,"  311",",,7","  228",",,7",,,,,"  244",",,7"
"RQC00662801","2018-07-14","18.3808","-67.1569","12.2","COLOSO, PR US","    0",",,7",,,,,"  306",",,7","  222",",,7",,,,,"  256",",,7"
"RQC00662801","2018-07-15","18.3808","-67.1569","12.2","COLOSO, PR US","   18",",,7",,,,,"  311",",,7","  233",",,7",,,,,"  250",",,7"
