"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES"
"ASN00066062","2018-06-14","-33.8607","151.205","39.0","SYDNEY OBSERVATORY HILL, AS","    0",",,a","  197",",,a","  106",",,a",,,,,,,,,,,,
"ASN00066062","2018-06-15","-33.8607","151.205","39.0","SYDNEY OBSERVATORY HILL, AS","    2",",,a","  201",",,a","  116",",,a",,,,,,,,,,,,
"ASN00066062","2018-06-16","-33.8607","151.205","39.0","SYDNEY OBSERVATORY HILL, AS","    0",",,a","  181",",,a","   90",",,a",,,,,,,,,,,,
"ASN00066062","2018-06-17","-33.8607","151.205","39.0","SYDNEY OBSERVATORY HILL, AS","    0",",,a","  158",",,a","   91",",,a",,,,,,,,,,,,
"ASN00066062","2018-06-18","-33.8607","151.205","39.0","SYDNEY OBSERVATORY HILL, AS","    2",",,a","  164",",,a","   99",",,a",,,,,,,,,,,,
"ASN00066062","2018-06-19","-33.8607","151.205","39.0","SYDNEY OBSERVATORY HILL, AS","  150",",,a","  147",",,a","   90",",,a",,,,,,,,,,,,
"ASN00066062","2018-06-20","-33.8607","151.205","39.0","SYDNEY OBSERVATORY HILL, AS","  430",",,a","  180",",,a","  111",",,a",,,,,,,,,,,,
"ASN00066062","2018-06-21","-33.8607","151.205","39.0","SYDNEY OBSERVATORY HILL, AS","   60",",,a","  161",",,a","  101",",,a",,,,,,,,,,,,
"ASN00066062","2018-06-22","-33.8607","151.205","39.0","SYDNEY OBSERVATORY HILL, AS","    2",",,a","  192",",,a","   82",",,a",,,,,,,,,,,,
"ASN00066062","2018-06-23","-33.8607","151.205","39.0","SYDNEY OBSERVATORY HILL, AS","    2",",,a","  200",",,a","   73",",,a",,,,,,,,,,,,
"ASN00066062","2018-06-24","-33.8607","151.205","39.0","SYDNEY OBSERVATORY HILL, AS","   10",",,a","  174",",,a","   71",",,a",,,,,,,,,,,,
